Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,ADAS-Cog scale at 18 months,Aducanumab,1,SUBGROUP_AND_OVERALL,EMERGE 2022,2022,,,3.76,6.55,,299,5.16,6.788225,,288,,,6.50457898164761,-0.2096907174412845,-0.37195881246213014,-0.047422622420438904,,Some concerns,<p>Subjects were randomized to receive aducanumab low dose : aducanumab high dose : placebo in a 1:1:1 ratio. The randomization were &nbsp;stratified by site and ApoE ε4 status (carrier or non-carrier). No further information provided on methods for random sequence generation and allocation concealment</p>,Low risk,"<p>pharmacist/technician), and study subjects were blinded to the subjects’ randomized treatment assignment for the placebocontrolled<br>period. However, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions, &nbsp;but &nbsp;deviation from the intended interventions beause of functional unblinding unlikely. Randomized and dosed<br>population analysed were all randomized patients who had received<br>≥1 dose of study treatment<br>&nbsp;</p>",Low risk,<p>participants lost at FU were less thn 5% of the overall sample</p>,Some concerns,<p>infusion reaction more frequent in the intervention group that could bring to functional unblinding</p>,Low risk,"<p>result analysed in accordance with a pre-specified analysis plan<br>outcome measures unlikely to be selected, on the basis of the results, from multiple measurements or multiple analyses&nbsp;</p>",Some concerns,"<p>Subjectswere randomized to receive aducanumab low dose : aducanumab high dose : placebo in a 1:1:1 ratio. The randomization was stratified by site and ApoE ε4 status (carrier or non-carrier). No further information provided on methods for random sequence generation and allocation concealment</p><p>Investigators, study site staff (except for the designated unblinded pharmacist/technician), and study subjects will be blinded to the subjects’ randomized treatment assignment for the placebocontrolled<br>period. However, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions but deviation from the intended interventions beacuse of functional unblinding unlikely</p><p>randomized and dosed population analysed were all randomized patients who had received ≥1 dose of study treatment)</p><p>particioants lost at FU were less thn 5% of the overall sample</p><p>infusion reaction more frequent in the intervention group that could bring to functional unblinding</p><p>result analysed in accordance with a pre-specified analysis plan<br>outcome measures unlikely to be selected, on the basis of the results, from multiple measurements or mulptiple analyses&nbsp;</p>"
1,1,ADAS-Cog scale at 18 months,Aducanumab,1,SUBGROUP_AND_OVERALL,ENGAGE 2022,2022,,,4.555,11.61,,295,5.14,6.93,,333,,,6.9290637159237525,-0.06201399463076672,-0.2187610618172498,0.09473307255571635,,Some concerns,<p>Subjects were randomized to receive aducanumab low dose : aducanumab high dose : placebo in a 1:1:1 ratio. The randomization was stratified by site and ApoE ε4 status (carrier or non-carrier). No further information provided on methods for random sequence generation and allocation concealment</p>,Low risk,"<p>Investigators, study site staff (except for the designated unblinded pharmacist/technician), and study subjects were blinded to the subjects’ randomized treatment assignment for the placebo controlled<br>period. However, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions but deviation from the intended interventions because of functional unblinding unlikely</p><p>randomized and dosed population analysed were all randomized patients who had received ≥1 dose of study treatment)</p>",Low risk,<p>participants lost at FU were less than 5% of the overall sample</p>,Some concerns,<p>infusion reaction more frequent in the intervention group that could bring to functional unblinding</p>,Low risk,"<p>result analysed in accordance with a pre-specified analysis plan<br>outcome measures unlikely to be selected, on the basis of the results, from multiple measurements or multiple analyses&nbsp;</p>",Some concerns,"<p>Subjects were randomized to receive aducanumab low dose : aducanumab high dose : placebo in a 1:1:1 ratio. The randomization was stratified by site and ApoE ε4 status (carrier or non-carrier). No further information provided on methods for random sequence generation and allocation concealment&nbsp;</p><p>Investigators, study site staff (except for the designated unblinded pharmacist/technician), and study subjects were blinded to the subjects’ randomized treatment assignment for the placebo controlled<br>period. However, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions but deviation from the intended interventions because of functional unblinding unlikely</p><p>randomized and dosed population analysed were all randomized patients who had received ≥1 dose of study treatment)</p><p>participants lost at FU were less than 5% of the overall sample</p><p>infusion reaction more frequent in the intervention group that could bring to functional unblinding</p><p>result analysed in accordance with a pre-specified analysis plan<br>outcome measures unlikely to be selected, on the basis of the results, from multiple measurements or multiple analyses&nbsp;</p><p>&nbsp;</p>"
1,1,ADAS-Cog scale at 18 months,Aducanumab,1,SUBGROUP_AND_OVERALL,ENVISION,2022,,,7.4,2.33,,5,9.67,0.884,,3,,,0.07402477364709384,-1.0021345469935967,-2.5908088067914763,0.5865397128042826,,Some concerns,"<p>The study was labeled randomized, but no details on sequence generation or allocation concealment were available. Baseline characteristics were not reported.</p>",High risk,"<p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions. No information about analysis methods.</p>",Some concerns,<p>The trial report provides no information about the extent of missing outcome data.</p>,Some concerns,<p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding</p>,Some concerns,"<p>The prespecified statistical analysis plan was not publicly available. Multiple potential clinical outcomes and analyses existed, creating some uncertainty regarding selective reporting.</p>",High risk,"<p>The study was labeled randomized, but no details on sequence generation or allocation concealment were available. Baseline characteristics were not reported.&nbsp;</p><p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions. No information about analysis methods.</p><p>The trial report provides no information about the extent of missing outcome data.</p><p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding</p><p>The prespecified statistical analysis plan was not publicly available. Multiple potential clinical outcomes and analyses existed, creating some uncertainty regarding selective reporting.</p>"
1,1,ADAS-Cog scale at 18 months,Bapineuzumab,2,SUBGROUP_AND_OVERALL,3000 Non Carriers 2016,2016,,,9.4,8.44,,212,10,8.59,,155,,,4.123742938134129,-0.0704131837413032,-0.2776085599396443,0.13678219245703785,,Low risk,<p>Allocation of patients to treatment groups using stratified block randomization proceeded through the entering of subject information by the study coordinator or delegate and the dispenser (unblinded pharmacist) into an interactive voice/web response system.&nbsp;</p>,Some concerns,"<p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions.</p>",Low risk,<p>Included in Modified intention-to-treat analyses (MITT): BAP 95% Placebo 95%</p>,Some concerns,<p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding</p>,Some concerns,"<p>There is no information on whether the result being assessed is likely to have been selected, on the basis of the results, from multiple eligible outcome measurements within the outcome domain AND from multiple eligible analyses of the data.</p>",Some concerns,"<p>Allocation of patients to treatment groups using stratified block randomization proceeded through the entering of subject information by the study coordinator or delegate and the dispenser (unblinded pharmacist) into an interactive voice/web response system.&nbsp;</p><p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions.</p><p>Included in Modified intention-to-treat analyses (MITT): BAP 95% Placebo 95%</p><p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding</p><p>There is no information on whether the result being assessed is likely to have been selected, on the basis of the results, from multiple eligible outcome measurements within the outcome domain AND from multiple eligible analyses of the data.</p>"
1,1,ADAS-Cog scale at 18 months,Bapineuzumab,2,SUBGROUP_AND_OVERALL,3001 Carriers 2016,2016,,,5,7.25,,202,4.2,7.47,,145,,,3.896384176910421,0.10871579663756863,-0.10476983617361184,0.3222014294487491,,Low risk,<p>Allocation of patients to treatment groups using stratified block randomization proceeded through the entering of subject information by the study coordinator or delegate and the dispenser (unblinded pharmacist) into an interactive voice/web response system.&nbsp;</p>,Some concerns,"<p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions.</p>",Low risk,<p>Included in Modified intention-to-treat analyses (MITT): BAP 99% Placebo 98%</p>,Some concerns,<p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding.</p>,Some concerns,"<p>There is no information on whether the result being assessed is likely to have been selected, on the basis of the results, from multiple eligible outcome measurements within the outcome domain AND from multiple eligible analyses of the data.</p>",Some concerns,"<p>Allocation of patients to treatment groups using stratified block randomization proceeded through the entering of subject information by the study coordinator or delegate and the dispenser (unblinded pharmacist) into an interactive voice/web response system.&nbsp;</p><p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions.</p><p>Included in Modified intention-to-treat analyses (MITT): BAP 99% Placebo 98%.</p><p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding.</p><p>There is no information on whether the result being assessed is likely to have been selected, on the basis of the results, from multiple eligible outcome measurements within the outcome domain AND from multiple eligible analyses of the data.</p>"
1,1,ADAS-Cog scale at 18 months,Bapineuzumab,2,SUBGROUP_AND_OVERALL,Bapineuzumab-301 2014,2014,,,4.7,9.36,,201,5.2,9.32,,334,,,5.659585522158413,-0.053486291247090964,-0.22848187969714207,0.12150929720296015,,Low risk,<p>A large multicentre trial run by the sponsor and academic centres experienced in clinical trials.</p>,Some concerns,"<p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions</p>",Low risk,<p>Included in Modified intention-to-treat analyses (MITT): BAP 77% Placebo 94%</p>,Some concerns,<p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding</p>,Low risk,<p>Result analysed in accordance with a pre-specified analysis plan.</p>,Some concerns,"<p>A large multicentre trial run by the sponsor and academic centres experienced in clinical trials.</p><p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions</p><p>Included in Modified intention-to-treat analyses (MITT): BAP 77% Placebo 94%</p><p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding.</p><p>Result analysed in accordance with a pre-specified analysis plan.</p>"
1,1,ADAS-Cog scale at 18 months,Bapineuzumab,2,SUBGROUP_AND_OVERALL,Bapineuzumab-302 2014,2014,,,5.9,8.837737,,339,6.2,9.243679,,254,,,6.4756902160423095,-0.03324021528476897,-0.19590303620735355,0.1294226056378156,,Low risk,<p>A large multicentre trial run by the sponsor and academic centres experienced in clinical trials&nbsp;</p>,Low risk,"<p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions</p>",Low risk,<p>Included in Modified intention-to-treat analyses (MITT): BAP 98% Placebo 96%</p>,Some concerns,<p>infusion reaction more frequent in the intervention group that could bring to functional unblinding</p>,Low risk,<p>Result analysed in accordance with a pre-specified analysis plan.</p>,Some concerns,"<p>A large multicentre trial run by the sponsor and academic centres experienced in clinical trials.</p><p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions</p><p>Included in Modified intention-to-treat analyses (MITT): BAP 98% Placebo 96%</p><p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding.</p><p>Result analysed in accordance with a pre-specified analysis plan.</p>"
1,1,ADAS-Cog scale at 18 months,Crenezumab,3,SUBGROUP_AND_OVERALL,CREAD 2 2022,2022,,,7.16,4.9,,12,8.9,5.07,,15,,,0.31796776565665047,-0.3377306247437116,-1.1030536622352447,0.42759241274782145,,Low risk,<p>Central randomisation. The Master Medication List was not available at the study center.</p>,Some concerns,"<p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions</p>",Low risk,<p>Included in Modified intention-to-treat analyses (MITT): CRE 3% Placebo 4%. Missingness in the outcome could not depend on its true value.</p>,Some concerns,<p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding.</p>,Low risk,<p>Result analysed in accordance with a pre-specified analysis plan.</p>,Some concerns,"<p>Central randomisation. The Master Medication List was not available at the study center.</p><p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions.</p><p>Included in Modified intention-to-treat analyses (MITT): CRE 3% Placebo 4%. Missingness in the outcome could not depend on its true value.</p><p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding.</p><p>Result analysed in accordance with a pre-specified analysis plan.</p>"
1,1,ADAS-Cog scale at 18 months,Donanemab,4,SUBGROUP_AND_OVERALL,TRAILBLAZER-ALZ 2 2023,2023,,,5.7,7.637585,,607,7.05,7.805767,,677,,,12.925673195416355,-0.17461605996336704,-0.28438211418742354,-0.06485000573931052,,Low risk,"<p>Eligible participants were randomly assigned in a 1:1 ratio (Figure 1) by a computer-generated sequence using interactive web response systems, with stratification by baseline tau categorization and enrolling sites; the randomization block size was 4</p>",Low risk,"<p>This is a double-blind study, with design to maintain blinding to treatment. To preserve the blinding of the study, a minimal number of Lilly personnel will see the randomization table and treatment assignments before the study is complete. Investigational product will be prepared by an unblinded pharmacist or other qualified unblinded personnel and will be administered by a blinded nurse or other qualified blinded personnel, as described in the pharmacy preparation instructions. Emergency unblinding at a participant level for AEs may be performed through the IWRS.&nbsp;<br>All unblinding events are recorded and reported by the IWRS. attempts to<br>minimize bias included blinding CDR raters to adverse event<br>information. However, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions but deviation from the intended interventions because of functional unblinding unlikely</p><p>&nbsp;</p><p>The efficacy analyses were conducted by using the evaluable<br>efficacy population (participants with a baseline and at least 1 post baseline efficacy measurement based onrandomized treatment</p>",Some concerns,"<p>29% and 22.7% of participants with missing data in the exp and ctrl group, respectively</p><p>% missing balanced between groups</p>",Some concerns,<p>infusion reaction more frequent in the intervention group that could bring to functional unblinding.</p>,Low risk,"<p>&nbsp; result analysed in accordance with a pre-specified analysis plan<br>outcome measures unlikely to be selected, on the basis of the results, from multiple measurements or multiple analyses&nbsp;</p>",Some concerns,"<p>Eligible participants were randomly assigned in a 1:1 ratio<br>(Figure 1) by a computer-generated sequence using interactive<br>web response systems, with stratification by baseline<br>tau categorization and enrolling sites; the randomization<br>block size was 4</p><p>This is a double-blind study, with design to maintain blinding to treatment. To preserve the blinding of the study, a minimal number of Lilly personnel will see the randomization table and treatment assignments before the study is complete. Investigational product will be prepared by an unblinded pharmacist or other qualified unblinded personnel and will be administered by a blinded nurse or other qualified blinded personnel, as<br>described in the pharmacy preparation instructions. Emergency unblinding at a participant level for AEs may be performed through the IWRS.&nbsp;<br>All unblinding events are recorded and reported by the IWRS. attempts to<br>minimize bias included blinding CDR raters to adverse event<br>information. However, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions but deviation from the intended interventions because of functional unblinding unlikely</p><p>&nbsp;</p><p>The efficacy analyses were conducted by using the evaluable<br>efficacy population (participants with a baseline and at least 1 post baseline efficacy measurement based onrandomized treatment</p><p>29% and 22.7% of participants with missing data in the exp and ctrl group, respectively</p><p>% missing balanced between groups</p><p>infusion reaction more frequent in the intervention group that could bring to functional unblinding.</p><p>result analysed in accordance with a pre-specified analysis plan<br>outcome measures unlikely to be selected, on the basis of the results, from multiple measurements or multiple analyses&nbsp;</p>"
1,1,ADAS-Cog scale at 18 months,Gantenerumab,5,SUBGROUP_AND_OVERALL,SCarlet RoAD 2017,2017,,,5.54,9.27,,167,5.77,9.27,,175,,,3.9472668861200275,-0.02475644808313742,-0.23678810339241205,0.1872752072261372,,Low risk,<p>Central randomization with minimization and stratification is described. Central allocation with a designated unblinded medication preparer not involved in patient care supports concealment.&nbsp;</p>,Low risk,"<p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions</p>",Low risk,<p>Availability of data from 95% of the participants.</p>,Some concerns,<p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding</p>,Low risk,<p>Result analysed in accordance with a pre-specified analysis plan.</p>,Some concerns,"<p>Central randomization with minimization (biased-coin) and stratification is described. Central allocation with a designated unblinded medication preparer not involved in patient care supports concealment.&nbsp;</p><p>Study was doble blind, however, participants experienced side effects or toxicities that carers or people delivering the interventions knew to be specific to one of the interventions</p><p>Availability of data from 95% of the participants.&nbsp;</p><p>Infusion reaction more frequent in the intervention group that could bring to functional unblinding</p><p>Result analysed in accordance with a pre-specified analysis plan.</p>"
