Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,ADAS-Cog scale at 18 months,Cognitive function,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours Aβ-mAbs,Favours placebo,2,true,,4909,,4986,-0.11064536398214196,-0.15951584540997393,-0.061774882554309934,,,0.0006298272166065482,,,13.73363742017759,12,0.3180402575468364,10.058196727482876,,4.93294789704135,5.310067995745564e-7,9.586603223620408,6,0.1431756928545861,37.412659520354254,analysis:462256577812571943
1,2,ADAS-Cog scale at 24 months,Cognitive function,Custom input,#N/A,Contrast level,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,2,true,,96,,116,-0.21345111507719816,-0.809955894867898,0.38305366471350166,,,0.13068342239449995,,,3.107253273106363,1,0.07794458441439278,67.81723560627914,0.7013464303806834,,0.48308684942472613,3.107253273106363,1,0.07794458441439278,67.81723560627916,analysis:462807611298814275
1,3,ADAS-Cog scale above 24 months,Cognitive function,Custom input,#N/A,Continuous,false,,,,,,,Gantenerumab,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours ganenterumab,Favours placebo,2,true,,997,,962,-0.11765498742004357,-0.20631186107373511,-0.028998113766352043,,,0,,,0.04529134378390451,1,0.8314693593304412,0,2.601033946285526,,0.009294325651165692,,,,,analysis:462259194217688414
1,4,MMSE scale at 18 months,Cognitive function,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours Aβ-mAbs,2,false,,3094,,3228,0.11479688442020253,0.041395332871659335,0.18819843596874575,,,6.258792554040409e-10,,,10.615627855294575,7,0.15628617806320044,0.000010974805293899737,,3.69817110268781,0.0000052588690512577126,0.6799143641730058,4,0.9537825973551013,0,analysis:462259400808399262
1,5,MMSE scale at 24 months,Cognitive function,Custom input,#N/A,Contrast level,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours Aβ-mAbs,2,false,,103,,119,-0.04142837216421256,-1.427756429780876,1.3448996854524509,,,0,,,0.6482344584255502,1,0.42074488130754484,0,,0.3797062143629495,0.7598232526480787,0.6482344584255502,1,0.42074488130754484,0,analysis:462808764451398650
1,6,ADAS-Cog 24 months mean difference,Cognitive function,Custom input,#N/A,Contrast level,false,,,,,,,Experimental,Control,IV,Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,10,false,,,,,-1.4055037783375313,-5.24530641383706,2.4342988571619975,,,5.42395,,,3.2079991858335033,1,0.07327909073446259,68.82792226332252,0.7174162443164631,,0.473117304593097,,,,,analysis:464256663953706595
2,1,CDR-SB scale at 18 months,Dementia severity,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours Aβ-mAbs,Favours placebo,2,true,,3954,,4099,-0.12360717841703495,-0.24313682520931665,-0.0040775316247532445,,,0.009919819164920199,,,24.7520742310564,8,0.0017122449264412865,67.03193039986037,,2.3846691762252843,0.005909772277133785,21.446613158140543,5,0.0006668391392379291,76.68629557901949,analysis:462260728362797725
2,2,CDR-SB scale at 24 months,Dementia severity,Custom input,#N/A,Contrast level,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours Aβ-mAbs,Favours placebo,2,true,,103,,117,0.03154549881786915,-0.955748096928792,1.0188390945645303,,,0,,,0.32701295504584144,1,0.5674234276465084,0,,0.40598213968465424,0.8164129091761425,0.32701295504584144,1,0.5674234276465084,0,analysis:462808638980629232
2,3,CDR-SB scale above 24 months,Dementia severity,Custom input,#N/A,Continuous,false,,,,,,,Gantenerumab,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours ganenterumab,Favours placebo,2,true,,997,,962,-0.07010296517035751,-0.15871197650974886,0.01850604616903384,,,0,,,0.19657237060315985,1,0.6575018811462315,0,1.5506243085942815,,0.12099174318573654,,,,,analysis:462261969114995848
2,4,CDR-SB 24 months mean difference,Dementia severity,Custom input,#N/A,Contrast level,false,,,,,,,Experimental,Control,IV,Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,10,false,,,,,0.0318791946308725,-0.6425001302343453,0.7062585194960903,,,0,,,0.32885906040268464,1,0.5663318355239804,0,0.09265122910632011,,0.9261806438098363,,,,,analysis:464256750017417081
3,1,DAD total score at 18 months,Functional ability,Custom input,#N/A,Continuous,false,,,,,,,Bapineuzumab,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours bapinezumab,2,false,,951,,889,0.04141223915587343,-0.15981990507286503,0.24264438338461192,,,0.008245796785012425,,,5.654003088791944,3,0.12971238610472835,47.33813910398166,,0.6549263190557736,0.5310689375588362,,,,,analysis:462262084209843619
3,2,ADCS-ADL score at 18 months,Functional ability,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours Aβ-mAbs,2,true,,1728,,1750,0.09178831812571327,0.026397093070788205,0.15717954318063831,,,0,,,0.4011617332332878,2,0.818255393981129,0,,6.039545179623862,0.006832780826157539,0.37206402107991543,1,0.5418816291209787,0,analysis:462695241352822877
3,3,ADCS-ADL score at 24 months,Functional ability,Custom input,#N/A,Contrast level,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours Aβ-mAbs,5,true,,103,,118,0.08682091859005586,-3.8291665632562832,4.002808400436395,,,0.134699545428,,,3.1091458230948112,1,0.0778540616533574,67.8368253887619,,0.2817078379692015,0.7781675443166172,3.1091458230948112,1,0.0778540616533574,67.83682538876191,analysis:462822946447579253
3,4,ADCS-ADL score above 24 months,Functional ability,Custom input,#N/A,Continuous,false,,,,,,,Gantenerumab,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours gantenerumab,2,true,,997,,975,0.0694512278716124,-0.02554427680210744,0.16444673254533224,,,0,,,0.027533135350443844,1,0.8682111857030392,0,,9.289508209639148,0.12321497239199543,,,,,analysis:462695504176300147
3,5,ADCS-ADL-MCI score at 18 months,Functional ability,Custom input,#N/A,Contrast level,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours Aβ-mAbs,2,true,,1382,,1420,0.2253197481892246,0.11570585032913153,0.33493364604931775,,,0,,,2.4731976596501806,3,0.4801545993972042,0,,6.541761712087714,2.8556803583623372e-9,0.3355755266737913,1,0.5623944781324312,0,analysis:462823243339290880
3,6,ADCS-iADL score at 18 months,Functional ability,Custom input,#N/A,Continuous,false,,,,,,,Donanemab,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours &nbsp;placebo,Favours donanemab,2,true,,591,,661,0.2086615152924401,0.0974027030136131,0.3199203275712671,,,0,,,2.390715075718488e-31,0,0,0,,0,0.00023707256249311958,,,,,analysis:462757427332732554
3,7,ADCS-ADL 24 months mean difference,Functional ability,Custom input,#N/A,Contrast level,false,,,,,,,Experimental,Control,IV,Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,,,,,0.6478059440559442,-4.9197501161898245,6.2153620043017135,,,11.602949999999998,,,3.439516425755584,1,0.06365442620716666,70.9261455327889,0.22804913063858265,,0.8196080461084596,,,,,analysis:464300147263032285
3,8,ADCS-ADL-MCI 18 months mean difference,Functional ability,Custom input,#N/A,Contrast level,false,,,,,,,Experimental,Control,IV,Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,,,,,1.8958916024482908,1.2725576783326276,2.519225526563954,,,0,,,0.7154192634409342,3,0.8695713525914648,0,5.961297974696909,,2.502421657664096e-9,,,,,analysis:464300219657767947
4,1,Any ARIA at 18 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,507,1751,215,1771,2.3966970260532987,2.074870925771339,2.7684404669930593,,,0,,,0.32706067091139346,1,0.5673951620802309,0,11.881247178531476,,1.4814041645199886e-32,0.32706067091139346,1,0.5673951620802309,0,analysis:462280884871890935
4,2,Any ARIA E at 18 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,972,6878,80,6717,10.02161283630108,7.4911225305395135,13.406899090393246,,,0.05421550822631939,,,19.668988269947285,10,0.03254366332936409,25.229500574884824,15.521722550519826,,2.4732157545246336e-54,13.367978003171483,5,0.020163958519228142,62.59718561166262,analysis:462281051314982537
4,3,Any ARIA E at 24 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,61,1531,6,1202,7.494102694956077,2.9814482006564837,18.837011889115406,,,0.11447625563722202,,,3.6100159997082732,3,0.3067713990986902,11.839560311224007,4.282916968097215,,0.00001844590199713391,2.289700732350116,2,0.3182719166082846,12.652340467776824,analysis:462281228773888087
4,4,Any ARIA E above 24 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,247,993,26,946,9.349943398952874,4.515055695013407,19.36220668555071,,,0.18601437356944023,,,2.9734732437597446,1,0.08464013216668642,66.36929549984545,6.018584524184186,,1.7594883233460052e-9,,,,,analysis:462281263818346591
4,5,Symptomatic ARIA E at 18 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours Aβ-mAbs,Favours placebo,73,true,77,1751,1,1771,52.49035277096728,40.12689855736595,68.66309715119556,,,0,,,0.0006587276941714016,1,0.9795239900487952,0,,187.37098683725682,0.0000015168276846108972,0.0006587276941714018,1,0.9795239900487952,0,analysis:462281332744130721
4,6,Symptomatic ARIA E above 24 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,50,993,2,946,15.546661816944203,4.331361582881387,55.80201260630928,,,0,,,0.8706010473286976,1,0.3507890619622349,0,4.2081304662478205,,0.000025749219266350174,,,,,analysis:462281374235234514
4,7,Any ARIA H at 18 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,false,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,30,true,,,,,,,,,,,,,,,,,,,,10.517263761337546,2,0.005202427064491588,80.98364702659461,analysis:462281415178981626
4,8,Any ARIA H at 24 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,95,1531,74,1202,1.274817128129933,0.9569928828870752,1.6981930996922765,,,0,,,0.3951030116815941,3,0.9412522419394104,0,1.6595103905083912,,0.09701298864567191,0.2032197944028322,2,0.9033819776775246,0,analysis:462281462071038281
4,9,Any ARIA H above 24 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,227,993,116,946,1.86453837103413,1.5186232989272272,2.289246674612755,,,0,,,0.07024352307243215,1,0.7909825457096673,0,5.950432174859791,,2.674353802662286e-9,,,,,analysis:462281485991416153
4,10,Symptomatic ARIA H at 18 months,ARIA,Custom input,#N/A,Dichotomous,true,,,,,,,Lecanemab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours lecanemab,Favours placebo,100,true,6,898,2,897,2.9966592427616927,0.606452442031973,14.807371518104377,,,0,,,0,0,1,0,,0,0.17817119958988417,,,,,analysis:462281504039768522
5,1,SAE at 18 months,Serious adverse events (SAE),Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,5,true,1008,5960,963,5944,1.0411259860249702,0.935646697550099,1.1584963871669378,,,0.010221790720530718,,,13.219779517689776,8,0.1045082380890443,39.37159406448553,0.7394864762995551,,0.459611654473599,11.610199108331013,5,0.040537492920282414,56.93441642691381,analysis:462281532910473704
5,2,SAE at 24 months,Serious adverse events (SAE),Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,196,1536,164,1210,1.0310011018008096,0.8481859609704623,1.2532196013929318,,,0,,,2.073118677233327,3,0.5573701992805564,0,0.3065708863211622,,0.7591700169747231,1.6458492930418804,2,0.43914565741847766,0,analysis:462281532926202363
5,3,SAE above 24 months,Serious adverse events (SAE),Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,137,1004,158,955,0.8237606397871372,0.6672245404164605,1.017021333236581,,,0,,,0.6796972237983192,1,0.4096913612763531,0,1.8030011076060595,,0.07138804072988045,,,,,analysis:462281532928299518
6,1,Mortality at 18 months,Mortality,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,67,4865,60,4868,1.1726999292136089,0.7412379894495478,1.8553084752157156,,,0.11750956618628985,,,10.436724379542483,6,0.10742500181065961,31.573531608179255,0.6806422452751416,,0.49609789367488166,5.666686030388533,4,0.22546158582393638,29.41200591405022,analysis:462281697546867376
6,2,Mortality at 24 months,Mortality,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,16,1536,14,1210,1.0546140034363614,0.46941585681261566,2.3693505025503403,,,0.05836102171404823,,,3.12930089498603,3,0.3721162569093446,7.878413187408801,0.12875643733517564,,0.8975503765147392,2.2239127681796584,2,0.32891513847939546,10.068415064811107,analysis:462281697563644609
6,3,Mortality above 24 months,Mortality,Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,10,1004,14,955,0.6972000337432345,0.12513570667984972,3.88448589094707,,,1.1273426445050705,,,3.7562793773359644,1,0.05260979385116216,73.37791203621222,0.41155988158527484,,0.680662042974532,,,,,analysis:462281697565217476
7,1,NPI-Q score at 12 months,Behavioural symptoms improvement,Custom input,#N/A,Continuous,false,,,,,,,Crenezumab,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours crenezumab,Favours placebo,2,false,,110,,102,0.08604846600191733,-0.1834920094196857,0.3555889414235204,,,0,,,0,0,1,0,,0,0.531510717475807,,,,,analysis:462280037550654028
7,2,NPI-Q score at 18 months,Behavioural symptoms improvement,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,2,false,,92,,87,0.11919939977015584,-0.17479245584770717,0.4131912553880188,,,0,,,0.29082477899863884,1,0.5896925528495796,0,0.7946700769560444,,0.4268054499757068,0.29082477899863873,1,0.5896925528495798,0,analysis:462280200164082320
8,1,Infusion reaction at 18 months,Infusion reaction,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,false,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,,,,,,,,,,,,,,,,,,,,42.00593271117046,2,6.702514099288237e-10,95.2387677860843,analysis:462282533731566797
8,2,Infusion reaction at 24 months,Infusion reaction,Custom input,#N/A,Dichotomous,true,,,,,,,Crenezumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours crenezumab,Favours placebo,100,false,47,404,41,405,1.1491789422844723,0.7737788248778544,1.7067050673020483,,,0,,,0,0,1,0,0.6890439152189698,,0.4907956369796116,,,,,analysis:462959692646667314
