Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Abi-Saab 2018,2018,PUB,29686526,<p>Wrong study design - Phase OLE of included study (Marguerite RoAD)</p>
Amariglio 2024,2024,PUB,29686528,<p>Wrong patient population - Cognitively unimpaired</p>
Andjelkovic 2018,2018,PUB,29686530,<p>Wrong study design - Phase OLE of included study (SCarlet RoAD)</p>
Andreasen 2015,2015,PUB,29686532,<p>Follow-up &lt;12 months</p>
Andrews 2025,2025,PUB,29686534,<p>Wrong study design - Simulation data of included study (CLARITY AD)</p>
Arai 2016,2016,PUB,29686536,<p>Follow-up &lt;12 months</p>
Ardayfio 2023,2023,PUB,29686538,<p>&nbsp;Wrong study design - Post-hoc analysis of included study (TRAILBLAZER ALZ 2) and phase II study</p>
Bateman 2023,2023,PUB,29686540,<p>Wrong patient population - Asymptomatic participants of ongoing study (DIAN-TU-001)</p>
Bateman 2025,2025,PUB,29686542,<p>Wrong study design - Phase OLE of ongoing study (DIAN-TU-001)</p>
Bateman 2025a,2025,PUB,29686544,<p>Wrong publication type - Correction of &nbsp;out-of-scope data</p>
Bittner 2025,2025,PUB,29686546,"<p>Wrong outcomes - analysis of biomarkers outcomes of included studies (GRADUATE I, GRADUATE II)</p>"
Blennow 2012,2012,PUB,29686548,<p>Wrong publication type - Post-hoc analysis of phase II study</p>
Blennow 2016,2016,PUB,29686550,<p>Wrong outcomes - analysis of biomarkers of included study (Scarlet RoAD)</p>
Boada 2025,2025,PUB,29686552,<p>Wrong study design - Phase OLE of included study (Scarlet RoAD)</p>
Burton 2025,2025,PUB,29686554,"<p>Wrong publication type - Exploratory data analysis of included studies (EMERGE, ENGAGE)</p>"
Cantillon 2024,2024,PUB,29686556,<p>Follow-up &lt;12 months</p>
Carlson 2015,2015,PUB,29686558,<p>Wrong study design - OLE version of included study (EXPEDITION)</p>
Castrillo-Viguera 2021,2021,PUB,29686560,"<p>Wrong publication type - Phase OLE of included studies (EMERGE, ENGAGE)</p>"
Chiao 2019,2019,PUB,29686562,<p>Wrong outcomes - analysis of biomarkers of phase I study</p>
ChiCTR2500102030 2025,2025,UNPUB,29686564,<p>Wrong patient population - participants with moderate-severe AD</p>
Cline 2025,2025,PUB,29686566,<p>Wrong outcomes - analysis of biomarkers of phase I study</p>
Cohen 2023,2023,PUB,29686568,<p>Wrong outcomes - analysis of quality of life data of included study (CLARITY AD)</p>
Cummings 2023,2023,PUB,29686570,<p>Wrong outcomes - analysis of caregiver distress data from included study (EMERGE)</p>
Cummings 2025,2025,PUB,29686572,<p>Wrong publication type - Post-hoc analysis of included study (EMERGE)</p>
de la Torre 2014,2014,PUB,29686574,"<p>Wrong publication type - commentary on included studies (Bapineuzumab-301, Bapineuzumab-302)</p>"
DIAN-TU (Remternetug) 2022,2022,UNPUB,29686576,<p>Wrong population - cognitevely unimpaired</p>
DIAN-TU-001 (E2814),2022,UNPUB,29686578,<p>Wrong intervention - intervention (E2814) is not an Amyloid-beta-targeting monoclonal antibody; lecanemab administered in combination with placebo</p>
Doody 2014,2014,UNPUB,29686580,<p>Wrong publication type - Erratutum of out-of-scope data of included study (EXPEDITION - EXPEDITION 2)</p>
EUCTR2009-015079-29-FR 2009,2009,UNPUB,29686582,<p>Wrong study design - OLE</p>
EUCTR2009-015080-13-IT 2010,2010,UNPUB,29686584,<p>Wrong comparator - all participants received intervention (study 3001 Carriers)</p>
EUCTR2019-001476-11-NL 2020,2020,UNPUB,29686586,<p>Wrong intervention - intervention (AL002) is not an Amyloid-beta-targeting monoclonal antibody</p>
EUCTR2021-001184-25-ES 2021,2021,UNPUB,29686588,<p>Wrong patient population - Cognitively unimpaired</p>
EXPEDITION EXT 2010,2010,UNPUB,29686590,<p>Wrong study design - OLE of included study (EXPEDITION - EXPEDITION 2)</p>
EXPEDITION PRO 2016,2016,UNPUB,29686592,<p>Follow-up &lt;12 months</p>
Farlow 2012,2012,PUB,29686594,<p>Follow-up &lt;12 months</p>
Fleisher 2024,2024,PUB,29686596,<p>Wrong intervention - intervention (Zagotenemab) is not an Amyloid-beta-targeting monoclonal antibody</p>
Grill 2024,2024,PUB,29686598,<p>Wrong study design - descriptive analysis of participant diversity in four studies (including CLARITY AD)</p>
Guthrie 2020,2020,PUB,29686600,<p>Follow-up &lt;12 months</p>
ISRCTN54460428 2022,2022,UNPUB,29686602,<p>Wrong patient population - cognitively unimpaired</p>
JapicCTI-121849 2012,2012,UNPUB,29686604,<p>Follow-up &lt;12 months</p>
JapicCTI-163169 2016,2016,UNPUB,29686606,<p>Follow-up &lt;12 months</p>
