path,category,generated_by,description
"AUDIT.md","documentation","package authors","Package documentation or citation metadata"
"CITATION.cff","documentation","package authors","Package documentation or citation metadata"
"code/01_primary_reanalysis.R","analysis code","authored source","Executable pipeline or verification source"
"code/02_extended_reanalysis.R","analysis code","authored source","Executable pipeline or verification source"
"code/03_build_evidence_registry.mjs","analysis code","authored source","Executable pipeline or verification source"
"code/04_verify_outputs.R","analysis code","authored source","Executable pipeline or verification source"
"code/05_verify_evidence.mjs","analysis code","authored source","Executable pipeline or verification source"
"code/06_write_manifest.mjs","analysis code","authored source","Executable pipeline or verification source"
"code/07_integrity_audit.R","analysis code","authored source","Executable pipeline or verification source"
"code/08_traceability.R","analysis code","authored source","Executable pipeline or verification source"
"code/09_manuscript.mjs","analysis code","authored source","Executable pipeline or verification source"
"code/10_verify_raw.mjs","analysis code","authored source","Executable pipeline or verification source"
"config/release.json","documentation","package authors","Package documentation or citation metadata"
"CORRECTIONS.md","documentation","package authors","Package documentation or citation metadata"
"data/raw/cochrane/CD016297-analysis-data/CD016297-analysis-data.json","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-analysis-data/CD016297-data-rows.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-analysis-data/CD016297-overall-estimates-and-settings.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-analysis-data/CD016297-subgroup-estimates.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-data-package-info.html","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-other-references/CD016297-additional-references.ris","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-other-references/CD016297-other-published-versions.ris","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-awaiting-study-data.json","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-awaiting-study-information.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-awaiting.ris","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-excluded-study-data.json","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-excluded-study-information.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-excluded.ris","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-included.ris","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-ongoing-study-data.json","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-ongoing-study-information.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-ongoing.ris","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-risk-of-bias.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-study-arms.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-study-data.json","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-study-information.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/cochrane/CD016297-study-data/CD016297-study-results.csv","raw input","Cochrane CD016297 data package","Unmodified source file supplied with the review data package"
"data/raw/README.md","documentation","package authors","Package documentation or citation metadata"
"environment/install_dependencies.R","environment metadata","published analysis environment","Dependency installation or version record"
"environment/R-packages.csv","environment metadata","published analysis environment","Dependency installation or version record"
"environment/restore.R","environment metadata","published analysis environment","Dependency installation or version record"
"environment/session-info.txt","environment metadata","published analysis environment","Dependency installation or version record"
"manifest/integrity-audit.csv","provenance metadata","package assembly","File-level or field-level provenance record"
"manifest/release-differences.csv","provenance metadata","package assembly","File-level or field-level provenance record"
"manifest/website-field-provenance.csv","provenance metadata","package assembly","File-level or field-level provenance record"
"manuscript/extended-results.md","generated manuscript","code/09_manuscript.mjs","Methods, Results and numerical supplement generated from release outputs"
"manuscript/methods-results.md","generated manuscript","code/09_manuscript.mjs","Methods, Results and numerical supplement generated from release outputs"
"README.md","documentation","package authors","Package documentation or citation metadata"
"renv.lock","environment lock","renv snapshot","Pinned R and dependency versions"
"results/audit/tables/calculation_inputs.csv","published audit result","code/08_traceability.R","PET pairings, calculation inputs and exploratory sensitivities"
"results/audit/tables/clearance_influence.csv","published audit result","code/08_traceability.R","PET pairings, calculation inputs and exploratory sensitivities"
