analysis_id,omitted,k,slope_per_10cl,ci_low,ci_high,p_value,interpretation
1.1,None,8,-0.02068948140492527,-0.042243694272415866,8.647314625653268e-4,0.05715645316592451,Exploratory ecological association; PET uncertainty not modelled
1.1,EMERGE 2022,7,-0.02110098698373772,-0.04231190067998358,1.0992671250814601e-4,0.05081552930831152,Exploratory ecological association; PET uncertainty not modelled
1.1,ENGAGE 2022,7,-0.01992665113406745,-0.04390126325934701,0.004047960991212109,0.0856900545333385,Exploratory ecological association; PET uncertainty not modelled
1.1,3000 Non Carriers 2016,7,-0.02577872812479715,-0.05398031620430615,0.0024228599547118507,0.06558152843961403,Exploratory ecological association; PET uncertainty not modelled
1.1,3001 Carriers 2016,7,-0.014127478053394545,-0.03321737171878952,0.004962415612000438,0.11551304783464333,Exploratory ecological association; PET uncertainty not modelled
1.1,CREAD 2 2022,7,-0.02166070623292568,-0.04490482311109055,0.0015834106452391854,0.061966821797882814,Exploratory ecological association; PET uncertainty not modelled
1.1,TRAILBLAZER-ALZ 2 2023,7,-0.02768096745770595,-0.060738166453715846,0.005376231538303945,0.0839773488609484,Exploratory ecological association; PET uncertainty not modelled
1.1,SCarlet RoAD 2017,7,-0.01980055275670375,-0.046346719504445966,0.0067456139910384676,0.11330950510832828,Exploratory ecological association; PET uncertainty not modelled
1.1,CLARITY AD 2023,7,-0.019684465996356905,-0.04417238380106479,0.004803451808350984,0.09367382255106199,Exploratory ecological association; PET uncertainty not modelled
1.4,None,5,0.015129355470401635,-0.032461739308486504,0.06272045024928978,0.38618868266949374,Exploratory ecological association; PET uncertainty not modelled
1.4,EMERGE 2022,4,0.018453371490069252,-0.03660739945649486,0.07351414243663337,0.2860443690523846,Exploratory ecological association; PET uncertainty not modelled
1.4,ENGAGE 2022,4,0.007926986401220092,-0.029064000209287958,0.044917973011728146,0.4538468760524569,Exploratory ecological association; PET uncertainty not modelled
1.4,CREAD 2 2022,4,0.016734991869472155,-0.06156599465061162,0.09503597838955592,0.45486501905947874,Exploratory ecological association; PET uncertainty not modelled
1.4,TRAILBLAZER-ALZ 2 2023,4,0.01095337903540639,-0.15490913518221766,0.17681589325303043,0.8030175305103695,Exploratory ecological association; PET uncertainty not modelled
1.4,SCarlet RoAD 2017,4,0.01623859187298493,-0.09279692794011636,0.1252741116860862,0.5872825204416954,Exploratory ecological association; PET uncertainty not modelled
2.1,None,6,-0.04321454482372716,-0.09841951405853942,0.011990424411085096,0.0954456807769439,Exploratory ecological association; PET uncertainty not modelled
2.1,EMERGE 2022,5,-0.04599052061248979,-0.11552204300442373,0.023541001779444154,0.12596702139643293,Exploratory ecological association; PET uncertainty not modelled
2.1,ENGAGE 2022,5,-0.034839137339386886,-0.09574400512150223,0.02606573044272846,0.16624749376686584,Exploratory ecological association; PET uncertainty not modelled
2.1,CREAD 2 2022,5,-0.04937023800210896,-0.09606205555508232,-0.0026784204491356114,0.04357158540928075,Exploratory ecological association; PET uncertainty not modelled
2.1,TRAILBLAZER-ALZ 2 2023,5,-0.03434027511914205,-0.1807311714648811,0.11205062122659702,0.5095229466899515,Exploratory ecological association; PET uncertainty not modelled
2.1,CLARITY AD 2023,5,-0.03781045255544159,-0.1318180865910033,0.05619718148012012,0.2905502858277408,Exploratory ecological association; PET uncertainty not modelled
2.1,SCarlet RoAD 2017,5,-0.031081148272600497,-0.1485899094639249,0.0864276129187239,0.46172947390564717,Exploratory ecological association; PET uncertainty not modelled
