analysis_id,outcome,scenario,measure,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high,rd_per_1000,rd_ci_low_per_1000,rd_ci_high_per_1000
4.1,Any ARIA at 18 months,Cochrane class pool,RD,2,0.16909091134361673,0.07187651282871048,0.26630530985852296,6.518129340515345e-4,0.004570706761757727,92.87692132389003,NA,NA,169.09091134361674,71.87651282871047,266.30530985852295
4.1,Any ARIA at 18 months,Response primary,RD,2,0.16909091134361673,0.07187651282871048,0.26630530985852296,6.518129340515345e-4,0.004570706761757727,92.87692132389003,NA,NA,169.09091134361674,71.87651282871047,266.30530985852295
4.1,Any ARIA at 18 months,Currently active: lecanemab + donanemab,RD,2,0.16909091134361673,0.07187651282871048,0.26630530985852296,6.518129340515345e-4,0.004570706761757727,92.87692132389003,NA,NA,169.09091134361674,71.87651282871047,266.30530985852295
4.2,Any ARIA E at 18 months,Cochrane class pool,RD,11,0.12830624412146874,0.04806907533718953,0.20854341290574796,0.00515553911105697,0.01398435498332551,99.79821134625593,-0.14712935701614566,0.40374184525908313,128.30624412146875,48.06907533718953,208.54341290574797
4.2,Any ARIA E at 18 months,Response primary,RD,4,0.24423903248651999,0.0785849444166195,0.40989312055642046,0.018303374486276294,0.010564614891541662,97.40275791512964,-0.1224206480405571,0.6108987130135971,244.23903248652,78.5849444166195,409.89312055642046
4.2,Any ARIA E at 18 months,Currently active: lecanemab + donanemab,RD,2,0.16398782491012118,0.05558507674697209,0.27239057307327025,0.003027184886234982,0.005929479055770489,96.91148570309862,NA,NA,163.9878249101212,55.58507674697209,272.3905730732703
4.3,Any ARIA E at 24 months,Cochrane class pool,RD,4,0.050671995517544095,-0.04422722976681228,0.14557122080190046,0.18782690111470313,0.003293067977003089,98.85229315642003,-0.15513844756221812,0.2564824385973063,50.6719955175441,-44.22722976681228,145.57122080190047
4.4,Any ARIA E above 24 months,Cochrane class pool,RD,2,0.22130290739397204,0.19254932956059068,0.2500564852273534,2.034882669558399e-51,0,0,NA,NA,221.30290739397205,192.54932956059068,250.05648522735342
4.5,Symptomatic ARIA E at 18 months,Cochrane class pool,RD,2,0.043229864247216185,0.011914450523453697,0.07454527797097868,0.006816804873749045,4.6200209943136905e-4,90.36178566860976,NA,NA,43.229864247216184,11.914450523453697,74.54527797097867
4.5,Symptomatic ARIA E at 18 months,Response primary,RD,2,0.043229864247216185,0.011914450523453697,0.07454527797097868,0.006816804873749045,4.6200209943136905e-4,90.36178566860976,NA,NA,43.229864247216184,11.914450523453697,74.54527797097867
4.5,Symptomatic ARIA E at 18 months,Currently active: lecanemab + donanemab,RD,2,0.043229864247216185,0.011914450523453697,0.07454527797097868,0.006816804873749045,4.6200209943136905e-4,90.36178566860976,NA,NA,43.229864247216184,11.914450523453697,74.54527797097867
4.6,Symptomatic ARIA E above 24 months,Cochrane class pool,RD,2,0.048265379952996366,0.034351686206574,0.06217907369941873,1.0538972686827488e-11,0,0,NA,NA,48.26537995299637,34.351686206574,62.17907369941873
4.7,Any ARIA H at 18 months,Cochrane class pool,RD,3,0.08332461337301077,-0.14868510778113275,0.3153343345271543,0.262303727972261,0.008397037464722387,96.61525441151164,-0.3741481815928302,0.5407974083388517,83.32461337301076,-148.68510778113276,315.33433452715434
4.7,Any ARIA H at 18 months,Response primary,RD,2,0.12945388151602988,0.035655685967606404,0.22325207706445335,0.006830257771828467,0.004262725291236365,93.03965459911869,NA,NA,129.45388151602987,35.6556859676064,223.25207706445335
4.7,Any ARIA H at 18 months,Currently active: lecanemab + donanemab,RD,2,0.12945388151602988,0.035655685967606404,0.22325207706445335,0.006830257771828467,0.004262725291236365,93.03965459911869,NA,NA,129.45388151602987,35.6556859676064,223.25207706445335
