analysis_id,outcome,k,agents,measure,omnibus_qm,omnibus_df,omnibus_p,residual_i2,residual_tau2
1.1,ADAS-Cog scale at 18 months,13,7,SMD,1.1550494814244445,6,0.432782032537443,10.982841870999998,8.340636242573801e-4
1.4,MMSE scale at 18 months,8,5,SMD,0.06960391731001235,4,0.9868664975217456,40.880596981318604,0.0037130428837537552
2.1,CDR-SB scale at 18 months,9,6,SMD,1.4883063427290941,5,0.3949048846789633,43.03514098808971,0.004023728838564711
3.2,ADCS-ADL score at 18 months,3,2,SMD,11.606922897014043,1,0.18175725176323615,0,0
3.5,ADCS-ADL-MCI score at 18 months,4,2,SMD,0.2449987985221541,1,0.6696502968924796,27.271818113711575,0.004898276682386567
3.8,ADCS-ADL-MCI 18 months mean difference,4,2,MD,0.5848850369517318,1,0.5243202767190651,0,0
4.2,Any ARIA E at 18 months,11,6,RR,1.8154572891435083,5,0.2643304549385849,2.808066852416673e-4,6.74890347531943e-7
4.3,Any ARIA E at 24 months,4,3,RR,1.0824993104010328,2,0.562099549791163,22.558747031633494,0.13101546880816836
4.8,Any ARIA H at 24 months,4,3,RR,0.5295403039537427,2,0.6968885447095952,0,0
5.1,SAE at 18 months,9,6,RR,4.3279101960329065,5,0.12879114208270995,0,0
5.2,SAE at 24 months,4,3,RR,1.9260089231018054,2,0.4539821791912326,0,0
6.1,Mortality at 18 months,7,5,RR,1.2549095647280022,4,0.48865339499061466,50.377597214375506,0.22041401763134902
6.2,Mortality at 24 months,4,3,RR,1.228154369565348,2,0.5378903281648599,0,0
9.1,Study discontinuation at 18 months,11,6,RR,2.249143093907636,5,0.19723831801383734,26.39127888994329,0.003060335373970467
