analysis_id,outcome,measure,omitted_agent,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
1.1,ADAS-Cog scale at 18 months,SMD,Aducanumab,10,-0.1049692379932679,-0.16103931411804587,-0.04889916186848994,0.002190380585177906,0.0010082504257560635,16.80439878356485,-0.1960923899557272,-0.013846086030808627
1.1,ADAS-Cog scale at 18 months,SMD,Bapineuzumab,9,-0.13325667700343138,-0.18291018532411668,-0.08360316868274609,2.626454772415413e-4,2.069680432733729e-4,4.073442841112508,-0.19297313665669397,-0.0735402173501688
1.1,ADAS-Cog scale at 18 months,SMD,Crenezumab,12,-0.1098208161006034,-0.16084647664084142,-0.058795155560365374,6.122929940867096e-4,6.65847929177487e-4,11.388816787626368,-0.1861700722264455,-0.0334715599747613
1.1,ADAS-Cog scale at 18 months,SMD,Donanemab,12,-0.10089660834822392,-0.1535436283891202,-0.048249588307327645,0.001440908521938866,7.212846398045313e-4,10.61840742740757,-0.1800537535189568,-0.021739463177491022
1.1,ADAS-Cog scale at 18 months,SMD,Gantenerumab,12,-0.1141513097295684,-0.16545616743205538,-0.06284645202708142,4.7379658600942785e-4,6.410771349224384e-4,10.610751638326237,-0.18989945333037125,-0.03840316612876554
1.1,ADAS-Cog scale at 18 months,SMD,Lecanemab,12,-0.10001342823763491,-0.15403699856049405,-0.04598985791477578,0.001836783635367571,7.289086154689559e-4,10.253711746686857,-0.18032298034769795,-0.01970387612757188
1.1,ADAS-Cog scale at 18 months,SMD,Solanezumab,11,-0.10585397119622063,-0.1706046101394762,-0.041103332252965044,0.004517682543225102,0.001612486976647757,17.796283681568116,-0.21629853879488228,0.004590596402441027
2.1,CDR-SB scale at 18 months,SMD,Aducanumab,6,-0.1392821527368734,-0.30016959167991775,0.021605286206170998,0.0766081435168854,0.010906685244085473,73.86563731339781,-0.4522597158098003,0.1736954103360535
2.1,CDR-SB scale at 18 months,SMD,Crenezumab,8,-0.11576991140167366,-0.22959175331202497,-0.0019480694913223545,0.04711219744353707,0.00977262505088264,69.50459160118051,-0.37576709415065784,0.14422727134731056
2.1,CDR-SB scale at 18 months,SMD,Donanemab,8,-0.09557758932196604,-0.2024956624317901,0.011340483787858013,0.07237947728536312,0.0042384521552953835,44.370106032152826,-0.2830090662775349,0.09185388763360285
2.1,CDR-SB scale at 18 months,SMD,Gantenerumab,8,-0.14145591741603347,-0.2662898552855385,-0.016621979546528456,0.0315630134436238,0.008869219926905625,66.14358434873294,-0.3967504389912291,0.11383860415916214
2.1,CDR-SB scale at 18 months,SMD,Lecanemab,8,-0.1095687904802132,-0.25432514958815267,0.035187568627726235,0.1166070245348311,0.012138761283135574,68.02491160784831,-0.40760847608475914,0.18847089512433277
2.1,CDR-SB scale at 18 months,SMD,Solanezumab,7,-0.14551466389563758,-0.33169936064277894,0.04067003285150375,0.10435855496187904,0.01605154546103516,69.35876816726571,-0.5071379556764114,0.2161086278851362
3.5,ADCS-ADL-MCI score at 18 months,SMD,Aducanumab,1,0.246614,0.14758681968111378,0.34564118031888624,1.0553361619288916e-6,0,NA,NA,NA
3.5,ADCS-ADL-MCI score at 18 months,SMD,Lecanemab,3,0.20065958791450902,-0.06248444140829526,0.46380361723731334,0.08167601032633637,0.00489827668238657,27.271818113711575,-0.1992475228142168,0.6005666986432349
4.2,Any ARIA E at 18 months,RR,Aducanumab,9,8.541670346347825,4.220549488726299,17.286879943136526,1.1084609670200247e-4,0.19831748011175876,46.222443055841936,2.457944836721669,29.683388827793923
4.2,Any ARIA E at 18 months,RR,Bapineuzumab,7,8.82945119943321,4.694149881865923,16.607737384853976,1.5140489454288004e-4,0.16138017233987098,56.67890385880951,2.7444922276562838,28.405694757513466
4.2,Any ARIA E at 18 months,RR,Crenezumab,10,10.124165560327912,6.441141359750186,15.91313131760007,1.042349517380316e-6,0.05380653417043473,26.978776771560362,5.0642874711495995,20.239516195881038
4.2,Any ARIA E at 18 months,RR,Donanemab,10,9.45994332146215,5.196968648755412,17.219755148360928,1.3772632824609315e-5,0.17381652640855957,47.1983738435163,3.095055755886433,28.914027631029217
4.2,Any ARIA E at 18 months,RR,Lecanemab,10,10.274769568861643,5.647950417683452,18.691893852798014,1.0190639704423404e-5,0.18595945823984994,50.17610169219695,3.2715681980433295,32.269200365850686
4.2,Any ARIA E at 18 months,RR,Solanezumab,9,11.059321926601509,8.133071100534119,15.038427669490877,9.179113043683173e-8,3.403310424109123e-6,0.0024869981301470197,8.132831654876284,15.038870428711641
4.7,Any ARIA H at 18 months,RR,Crenezumab,2,2.1381611827436675,1.783838716365453,2.562862438991482,2.0183075695539462e-16,0.004539150272811235,25.597636053393902,NA,NA
4.7,Any ARIA H at 18 months,RR,Donanemab,2,1.3304166786648866,0.6025491077781254,2.9375340798305056,0.4799156440207577,0.2780630797220716,84.12344724498638,NA,NA
4.7,Any ARIA H at 18 months,RR,Lecanemab,2,1.454581593301695,0.5468329819148517,3.86920262959112,0.45283204400969423,0.4522906010207314,90.20664325750435,NA,NA
5.1,SAE at 18 months,RR,Aducanumab,7,1.059901329420947,0.9024057623919379,1.2448843690122329,0.41026717869358603,0.014096101890283208,49.453623351271055,0.7604052808896485,1.4773580041342709
5.1,SAE at 18 months,RR,Bapineuzumab,7,0.9917865026034361,0.8690670569368446,1.1318349474818918,0.8835781582556487,0.004950379009331416,23.531414085753394,0.7983225117436922,1.232134196739477
5.1,SAE at 18 months,RR,Crenezumab,8,1.0573804916802314,0.9333475971935712,1.1978961616741053,0.3254516227125302,0.009620290067135415,40.0399303073574,0.812558624582039,1.3759665707333157
5.1,SAE at 18 months,RR,Donanemab,8,1.0317439605920482,0.8924679503134972,1.1927549889542144,0.6260186636896365,0.013716904421142023,45.40450411674273,0.7547548597478125,1.410385884198013
5.1,SAE at 18 months,RR,Lecanemab,8,1.017349225196679,0.8928410043927293,1.1592203325296908,0.7644530903203871,0.009107776610850373,36.55197762705671,0.7838742012165589,1.3203642171179788
5.1,SAE at 18 months,RR,Solanezumab,7,1.104157300485185,0.9548508226121315,1.2768102779442918,0.14620123600013935,0.00311058105031564,14.458871677167217,0.9046161452083256,1.3477134480437203
6.1,Mortality at 18 months,RR,Bapineuzumab,5,0.9695770986688078,0.353353461787057,2.6604515079847944,0.9363599683952553,0.21674789991555068,46.086432733612476,0.18807266643126774,4.998492168486275
6.1,Mortality at 18 months,RR,Crenezumab,6,1.2537034943677074,0.7155400652075709,2.196623960300316,0.3475296231744265,0.09677793870650148,30.824015654990806,0.47206629694182095,3.3295587123507584
6.1,Mortality at 18 months,RR,Donanemab,6,1.0734557602764583,0.4723255970639606,2.439646033231326,0.8331364175270921,0.17517082562279546,38.27285448203859,0.2773579026671979,4.154586035550477
6.1,Mortality at 18 months,RR,Lecanemab,6,1.2223105913841308,0.5493055314381609,2.7198764554549517,0.5472562551110475,0.16111609245065145,39.30265463162874,0.33128415643210607,4.509854011433883
6.1,Mortality at 18 months,RR,Solanezumab,5,1.3869867265121991,0.6372682772620417,3.0187163682242977,0.30771429857871396,4.583477932963446e-7,1.4767204458698358e-4,0.6372668296457847,3.0187232255447904
9.1,Study discontinuation at 18 months,RR,Aducanumab,9,1.1023023246149821,0.9902915846527616,1.2269824702970173,0.06936137267543316,0.01046753811469198,54.191424405692686,0.8506766524707499,1.4283575449290624
9.1,Study discontinuation at 18 months,RR,Bapineuzumab,7,1.162375567041408,0.9992260319080378,1.3521634902514055,0.0508583324350679,0.015089461444679963,51.76973063854371,0.8302604897645165,1.6273410279201008
9.1,Study discontinuation at 18 months,RR,Crenezumab,10,1.1150140651817761,1.0094040095891046,1.2316736943211464,0.035282812610519625,0.010050814241479165,52.336645048880236,0.8704086532215847,1.42835938148318
9.1,Study discontinuation at 18 months,RR,Donanemab,10,1.0878298891911427,0.9945040705674578,1.1899135487121615,0.06271417248496093,0.005019604339624916,32.83826736192789,0.9053088101382278,1.3071493998130086
