analysis_id,outcome,measure,k,moderator,moderator_variable,intercept,slope,slope_ci_low,slope_ci_high,slope_p,tau2,i2
1.1,ADAS-Cog scale at 18 months,SMD,13,Biomarker-confirmed enrollment (binary),biomarker_confirmed,-0.0737946774046087,-0.0538383657741706,-0.1597516470624168,0.0520749155140756,0.28705573225589565,0.0013939318746464047,19.170343760065197
1.1,ADAS-Cog scale at 18 months,SMD,13,Futility termination (binary),futility_terminated,-0.10866252439715506,-0.00411423136710573,-0.13942227734066653,0.13119381460645507,0.9478430847733306,0.001115542943952441,16.58537997741088
1.1,ADAS-Cog scale at 18 months,SMD,13,Trial publication year per 5 years,year_per5,-0.04770358241808665,-0.06278250548508368,-0.12513277335329143,-4.322376168759273e-4,0.048684229363732935,0,0
1.1,ADAS-Cog scale at 18 months,SMD,11,ARIA-E risk difference per 10 percentage points,aria_e_rd_10pct,-0.10158053804032657,-0.008832755734601593,-0.05875777518911793,0.04109226371991474,0.6983264771845131,0.0011605306549684446,18.419512919620917
1.4,MMSE scale at 18 months,SMD,8,Biomarker-confirmed enrollment (binary),biomarker_confirmed,0.16432765990782353,-0.06264425380881297,-0.2544563613271569,0.12916785370953093,0.45467156686828736,3.6200214943675415e-6,0.05388317723728452
1.4,MMSE scale at 18 months,SMD,8,Futility termination (binary),futility_terminated,0.13060762543088356,-0.06305551835110104,-0.24155598173831871,0.11544494503611663,0.42059035938201056,3.919278005888091e-7,0.00667476624453566
1.4,MMSE scale at 18 months,SMD,8,Trial publication year per 5 years,year_per5,0.12534091297106623,-0.010232651023154354,-0.17152207977199713,0.15105677772568843,0.8817237903757553,7.35550352086731e-4,10.241152221036502
1.4,MMSE scale at 18 months,SMD,6,ARIA-E risk difference per 10 percentage points,aria_e_rd_10pct,0.1319878361506528,-0.011499642128722742,-0.07086021683037723,0.04786093257293174,0.6191991797743129,0.00134170162480868,21.87169445141202
2.1,CDR-SB scale at 18 months,SMD,9,Biomarker-confirmed enrollment (binary),biomarker_confirmed,-0.047843955158799585,-0.08897971929016936,-0.45139744684498245,0.27343800826464376,0.57974138123142,0.011450629173900094,68.06131773570853
2.1,CDR-SB scale at 18 months,SMD,9,Futility termination (binary),futility_terminated,-0.14671812353404215,0.06629418083640842,-0.20387565001719965,0.3364640116900165,0.5799486100219873,0.010424585160496033,68.33171761640017
2.1,CDR-SB scale at 18 months,SMD,9,Trial publication year per 5 years,year_per5,0.03548302622473933,-0.13099585539736336,-0.30088592164711175,0.038894210852385036,0.1110347431319557,0.003976504064759197,42.20036659797815
2.1,CDR-SB scale at 18 months,SMD,7,ARIA-E risk difference per 10 percentage points,aria_e_rd_10pct,-0.13565010886162784,-0.008131377027945025,-0.11897832648969396,0.1027155724338039,0.8578449293880429,0.011387765555189215,73.99786000202633
3.5,ADCS-ADL-MCI score at 18 months,SMD,4,Futility termination (binary),futility_terminated,0.25112693423300236,-0.05453706769596337,-0.44213375447996206,0.3330596190880353,0.6064562137983798,0.004770754125296189,26.861857272084162
3.5,ADCS-ADL-MCI score at 18 months,SMD,4,Trial publication year per 5 years,year_per5,-0.16697570876939355,0.22977206042744458,-1.767565810792445,2.227109931647334,0.6696502968925035,0.0048982766823880185,27.27181811371794
