analysis_id,Analysis.name,Study,agent,Experimental.mean,Control.mean,yi_raw,benefit_points,percent_slowing
1.1,ADAS-Cog scale at 18 months,EMERGE 2022,Aducanumab,3.76,5.16,-1.4000000000000004,1.4000000000000004,27.13178294573644
1.1,ADAS-Cog scale at 18 months,ENGAGE 2022,Aducanumab,4.555,5.14,-0.585,0.585,11.381322957198444
1.1,ADAS-Cog scale at 18 months,ENVISION,Aducanumab,7.4,9.67,-2.2699999999999996,2.2699999999999996,23.47466390899689
1.1,ADAS-Cog scale at 18 months,3000 Non Carriers 2016,Bapineuzumab,9.4,10,-0.5999999999999996,0.5999999999999996,5.9999999999999964
1.1,ADAS-Cog scale at 18 months,3001 Carriers 2016,Bapineuzumab,5,4.2,0.7999999999999998,-0.7999999999999998,-19.047619047619044
1.1,ADAS-Cog scale at 18 months,Bapineuzumab-301 2014,Bapineuzumab,4.7,5.2,-0.5,0.5,9.615384615384615
1.1,ADAS-Cog scale at 18 months,Bapineuzumab-302 2014,Bapineuzumab,5.9,6.2,-0.2999999999999998,0.2999999999999998,4.838709677419351
1.1,ADAS-Cog scale at 18 months,CREAD 2 2022,Crenezumab,7.16,8.9,-1.7400000000000002,1.7400000000000002,19.55056179775281
1.1,ADAS-Cog scale at 18 months,TRAILBLAZER-ALZ 2 2023,Donanemab,5.7,7.05,-1.3499999999999996,1.3499999999999996,19.148936170212764
1.1,ADAS-Cog scale at 18 months,SCarlet RoAD 2017,Gantenerumab,5.54,5.77,-0.22999999999999954,0.22999999999999954,3.9861351819757287
1.1,ADAS-Cog scale at 18 months,CLARITY AD 2023,Lecanemab,4.14,5.58,-1.4400000000000004,1.4400000000000004,25.80645161290323
1.1,ADAS-Cog scale at 18 months,EXPEDITION - EXPEDITION 2 2016,Solanezumab,4.08,6.21,-2.13,2.13,34.29951690821256
1.1,ADAS-Cog scale at 18 months,EXPEDITION 3 2018,Solanezumab,35.09,36.11,-1.019999999999996,1.019999999999996,2.8247022985322516
1.3,ADAS-Cog scale above 24 months,GRADUATE I 2023,Gantenerumab,8.57,9.82,-1.25,1.25,12.729124236252545
1.3,ADAS-Cog scale above 24 months,GRADUATE II 2023,Gantenerumab,6.66,7.94,-1.2800000000000002,1.2800000000000002,16.12090680100756
1.4,MMSE scale at 18 months,EMERGE 2022,Aducanumab,-2.7,-3.3,0.5999999999999996,0.5999999999999996,18.181818181818173
1.4,MMSE scale at 18 months,ENGAGE 2022,Aducanumab,-3.6,-3.5,-0.10000000000000009,-0.10000000000000009,-2.85714285714286
1.4,MMSE scale at 18 months,ENVISION,Aducanumab,-1.2,-6,4.8,4.8,80
1.4,MMSE scale at 18 months,CREAD 2 2022,Crenezumab,-3.21,-3.63,0.41999999999999993,0.41999999999999993,11.570247933884296
1.4,MMSE scale at 18 months,TRAILBLAZER-ALZ 2 2023,Donanemab,-2.65,-3.22,0.5700000000000003,0.5700000000000003,17.701863354037275
1.4,MMSE scale at 18 months,EXPEDITION - EXPEDITION 2 2016,Solanezumab,-1.83,-2.76,0.9299999999999997,0.9299999999999997,33.69565217391303
1.4,MMSE scale at 18 months,EXPEDITION 3 2018,Solanezumab,19.62,19.09,0.5300000000000011,0.5300000000000011,2.776322682032484
1.4,MMSE scale at 18 months,SCarlet RoAD 2017,Gantenerumab,-2.73,-2.93,0.20000000000000018,0.20000000000000018,6.825938566552907
2.1,CDR-SB scale at 18 months,EMERGE 2022,Aducanumab,1.35,1.74,-0.3899999999999999,0.3899999999999999,22.41379310344827
2.1,CDR-SB scale at 18 months,ENGAGE 2022,Aducanumab,1.59,1.56,0.030000000000000027,-0.030000000000000027,-1.9230769230769247
2.1,CDR-SB scale at 18 months,ENVISION,Aducanumab,1.56,0.67,0.89,-0.89,-132.83582089552237
2.1,CDR-SB scale at 18 months,CREAD 2 2022,Crenezumab,1.89,3.19,-1.3,1.3,40.75235109717868
2.1,CDR-SB scale at 18 months,TRAILBLAZER-ALZ 2 2023,Donanemab,1.72,2.42,-0.7,0.7,28.925619834710744
2.1,CDR-SB scale at 18 months,EXPEDITION - EXPEDITION 2 2016,Solanezumab,1.53,1.69,-0.15999999999999992,0.15999999999999992,9.467455621301772
2.1,CDR-SB scale at 18 months,EXPEDITION 3 2018,Solanezumab,5.72,6.02,-0.2999999999999998,0.2999999999999998,4.983388704318934
2.1,CDR-SB scale at 18 months,CLARITY AD 2023,Lecanemab,1.21,1.66,-0.44999999999999996,0.44999999999999996,27.108433734939755
2.1,CDR-SB scale at 18 months,SCarlet RoAD 2017,Gantenerumab,1.73,1.6,0.1299999999999999,-0.1299999999999999,-8.124999999999993
2.3,CDR-SB scale above 24 months,GRADUATE I 2023,Gantenerumab,3.35,3.65,-0.2999999999999998,0.2999999999999998,8.219178082191776
2.3,CDR-SB scale above 24 months,GRADUATE II 2023,Gantenerumab,2.85,3.01,-0.1599999999999997,0.1599999999999997,5.31561461794019
3.1,DAD total score at 18 months,3000 Non Carriers 2016,Bapineuzumab,-19.1,-18.8,-0.3000000000000007,-0.3000000000000007,-1.5957446808510676
3.1,DAD total score at 18 months,3001 Carriers 2016,Bapineuzumab,-10.1,-10.7,0.5999999999999996,0.5999999999999996,5.607476635514016
3.1,DAD total score at 18 months,Bapineuzumab-301 2014,Bapineuzumab,-8.4,-12.5,4.1,4.1,32.8
3.1,DAD total score at 18 months,Bapineuzumab-302 2014,Bapineuzumab,-12.8,-11.5,-1.3000000000000007,-1.3000000000000007,-11.304347826086962
3.2,ADCS-ADL score at 18 months,CREAD 2 2022,Crenezumab,-6.31,-8.83,2.5200000000000005,2.5200000000000005,28.539071347678377
3.2,ADCS-ADL score at 18 months,EXPEDITION - EXPEDITION 2 2016,Solanezumab,-7.13,-8.55,1.4200000000000008,1.4200000000000008,16.608187134502934
3.2,ADCS-ADL score at 18 months,EXPEDITION 3 2018,Solanezumab,60.2,59,1.2000000000000028,1.2000000000000028,2.0338983050847506
3.4,ADCS-ADL score above 24 months,GRADUATE I 2023,Gantenerumab,-11.21,-12.32,1.1099999999999994,1.1099999999999994,9.009740259740255
3.4,ADCS-ADL score above 24 months,GRADUATE II 2023,Gantenerumab,-8.44,-9.26,0.8200000000000003,0.8200000000000003,8.855291576673869
