analysis_id,outcome,measure,agent,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
1.1,ADAS-Cog scale at 18 months,MD,Aducanumab,3,-1.2755515805298996,-2.876602670681677,0.3254995096218778,0.07558056539926454,0,0,-2.876602670681677,0.3254995096218778
1.1,ADAS-Cog scale at 18 months,MD,Bapineuzumab,4,-0.12475192043633668,-1.149334241009854,0.8998304001371805,0.7242491211417204,0,0,-1.149334241009854,0.8998304001371805
1.1,ADAS-Cog scale at 18 months,MD,Crenezumab,1,-1.7400000000000002,-5.517442677227923,2.037442677227922,0.3666233267914826,0,NA,NA,NA
1.1,ADAS-Cog scale at 18 months,MD,Donanemab,1,-1.3499999999999996,-2.195514936058867,-0.50448506394113235,0.0017516584132526583,0,NA,NA,NA
1.1,ADAS-Cog scale at 18 months,MD,Gantenerumab,1,-0.22999999999999954,-2.195457323361511,1.735457323361512,0.8185913274108323,0,NA,NA,NA
1.1,ADAS-Cog scale at 18 months,MD,Lecanemab,1,-1.4400000000000004,-2.270355336365532,-0.6096446636344685,6.76415469480832e-4,0,NA,NA,NA
1.1,ADAS-Cog scale at 18 months,MD,Solanezumab,2,-1.514956812100792,-2.5963522928479543,-0.43356133135362973,0.006036949155893864,0.19259793745032694,31.263361326243913,NA,NA
1.3,ADAS-Cog scale above 24 months,MD,Gantenerumab,2,-1.2670154834383593,-2.219629855240101,-0.31440111163661777,0.009138444036168814,0,0,NA,NA
1.4,MMSE scale at 18 months,MD,Aducanumab,3,1.663854753595273,-4.803171442826707,8.130880950017254,0.38361480315711116,6.253073981778542,97.81563637290695,-10.889410323796433,14.217119830986977
1.4,MMSE scale at 18 months,MD,Crenezumab,1,0.41999999999999993,-1.4138742483103415,2.2538742483103413,0.6535200335512068,0,NA,NA,NA
1.4,MMSE scale at 18 months,MD,Donanemab,1,0.5700000000000003,0.14014632937020577,0.9998536706297948,0.009350224836172299,0,NA,NA,NA
1.4,MMSE scale at 18 months,MD,Gantenerumab,1,0.20000000000000018,-0.6798972914725213,1.0798972914725216,0.6559596475061724,0,NA,NA,NA
1.4,MMSE scale at 18 months,MD,Solanezumab,2,0.6782656572470546,0.2996142208925067,1.0569170936016024,4.467302180691682e-4,0.003893736599381765,4.867170749227241,NA,NA
2.1,CDR-SB scale at 18 months,MD,Aducanumab,3,-0.03743362691017734,-1.2947254369937358,1.219858183173381,0.9097862717429042,0.12683719885246478,74.47420439028468,-2.0195781706828546,1.9447109168624999
2.1,CDR-SB scale at 18 months,MD,Crenezumab,1,-1.3,-2.485319177062464,-0.11468082293753601,0.03158746440815747,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,MD,Donanemab,1,-0.7,-0.9636862123777886,-0.4363137876222113,1.9603512391907238e-7,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,MD,Gantenerumab,1,0.1299999999999999,-0.4127800159444952,0.672780015944495,0.6387648170168251,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,MD,Lecanemab,1,-0.44999999999999996,-0.6702865019455746,-0.22971349805442529,6.233223381444568e-5,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,MD,Solanezumab,2,-0.24759042491506328,-0.46805951129893386,-0.027121338531192696,0.027730932638573583,0,0,NA,NA
2.3,CDR-SB scale above 24 months,MD,Gantenerumab,2,-0.22751432080982503,-0.5168827865852184,0.06185414496556835,0.12331420475948286,0,0,NA,NA
3.1,DAD total score at 18 months,MD,Bapineuzumab,4,0.7424137711537498,-3.01091018604994,4.495737728357439,0.5737006232602254,2.690330122910305,47.77267168178479,-5.686817027954976,7.171644570262475
3.2,ADCS-ADL score at 18 months,MD,Crenezumab,1,2.5200000000000005,-3.109227319476198,8.1492273194762,0.38026698337625703,0,NA,NA,NA
3.2,ADCS-ADL score at 18 months,MD,Solanezumab,2,1.2809963481262268,0.330720021604036,2.2312726746484177,0.008239842932263012,0,0,NA,NA
3.4,ADCS-ADL score above 24 months,MD,Gantenerumab,2,0.9542616730399138,-0.26516089548939625,2.173684241569224,0.12508528558903328,0,0,NA,NA
3.6,ADCS-iADL score at 18 months,MD,Donanemab,1,1.75,0.8213410087695308,2.6786589912304692,2.212494383262123e-4,0,NA,NA,NA
7.1,NPI-Q score at 12 months,MD,Crenezumab,1,0.76,-1.6003089335954301,3.12030893359543,0.5279802213160714,0,NA,NA,NA
7.2,NPI-Q score at 18 months,MD,Aducanumab,1,6.500000000000001,-12.81461920011882,25.81461920011882,0.5095157694796356,0,NA,NA,NA
7.2,NPI-Q score at 18 months,MD,Crenezumab,1,0.53,-1.0094137983722011,2.069413798372201,0.4998092462945174,0,NA,NA,NA
