analysis_id,outcome,measure,target_class,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
1.1,ADAS-Cog scale at 18 months,SMD,Aggregated/fibrillar Aβ,8,-0.06310094812881752,-0.14637566270811303,0.020173766450478012,0.1162744550630845,1.8187649065546455e-7,0.0018387259707467057,-0.146381768496871,0.020179872239235994
1.1,ADAS-Cog scale at 18 months,SMD,Pyroglutamate plaque Aβ,1,-0.17461605996336704,-0.28438211418742343,-0.06485000573931066,0.0018213553957008525,0,NA,NA,NA
1.1,ADAS-Cog scale at 18 months,SMD,Soluble aggregate-preferring,2,-0.1661816271622981,-0.25998553585485074,-0.07237771846974546,5.161281293101139e-4,0,0,NA,NA
1.1,ADAS-Cog scale at 18 months,SMD,Soluble monomer Aβ,2,-0.11441981394089736,-0.20506189361494748,-0.023777734266847234,0.013356757964665995,0.0018960032811586483,43.543421152056055,NA,NA
1.4,MMSE scale at 18 months,SMD,Aggregated/fibrillar Aβ,4,0.07393563266050258,-0.25319907002679093,0.40107033534779607,0.5239442666959319,0.005489674871308789,31.546102923868663,-0.3293215381854508,0.47719280350645593
1.4,MMSE scale at 18 months,SMD,Pyroglutamate plaque Aβ,1,0.14556071158732342,0.03559766079525882,0.255523762379388,0.009474210427497128,0,NA,NA,NA
1.4,MMSE scale at 18 months,SMD,Soluble aggregate-preferring,1,0.16793884927381217,-0.5926977031526056,0.92857540170023,0.6652072637196613,0,NA,NA,NA
1.4,MMSE scale at 18 months,SMD,Soluble monomer Aβ,2,0.12308294556771492,0.0562864755803479,0.18987941555508192,3.0438382132308135e-4,0,0,NA,NA
2.1,CDR-SB scale at 18 months,SMD,Aggregated/fibrillar Aβ,4,-0.039070974537133735,-0.32099019291916286,0.24284824384489537,0.6890248551842456,0.01319537282823351,52.886370332796915,-0.5007209643315627,0.42257901525729524
2.1,CDR-SB scale at 18 months,SMD,Pyroglutamate plaque Aβ,1,-0.2931287586575765,-0.40390175211272944,-0.18235576520242353,2.1430711997463345e-7,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,SMD,Soluble aggregate-preferring,2,-0.36537011143201753,-0.9049801306763658,0.17423990781233084,0.18447817794912044,0.10346081623120769,55.441447792139314,NA,NA
2.1,CDR-SB scale at 18 months,SMD,Soluble monomer Aβ,2,-0.07468737134774227,-0.14144130243054015,-0.007933440264944372,0.028314733201876777,0,0,NA,NA
3.2,ADCS-ADL score at 18 months,SMD,Soluble aggregate-preferring,1,0.3280886894908053,-0.43688492470524043,1.093062303686851,0.4005682529512126,0,NA,NA,NA
3.2,ADCS-ADL score at 18 months,SMD,Soluble monomer Aβ,2,0.08998845305109139,0.02322570134223649,0.1567512047599463,0.008246568120055775,0,0,NA,NA
3.5,ADCS-ADL-MCI score at 18 months,SMD,Aggregated/fibrillar Aβ,3,0.20065958791450902,-0.06248444140829526,0.46380361723731334,0.08167601032633637,0.00489827668238657,27.271818113711575,-0.1992475228142168,0.6005666986432349
3.5,ADCS-ADL-MCI score at 18 months,SMD,Soluble aggregate-preferring,1,0.246614,0.14758681968111378,0.34564118031888624,1.0553361619288916e-6,0,NA,NA,NA
