analysis_id,outcome,measure,scenario,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
1.1,ADAS-Cog scale at 18 months,SMD,Cochrane class pool,13,-0.11064448475099424,-0.1595158023712508,-0.061773167130737675,3.4624305163501575e-4,6.30164670436148e-4,10.063043484523792,-0.18399255481451754,-0.037296414687470955
1.1,ADAS-Cog scale at 18 months,SMD,Exclude futility-terminated trials,9,-0.10886031478051525,-0.17241611497451342,-0.045304514586517075,0.004237240755579472,0.0010491357008275783,18.238496513234377,-0.20693315260312278,-0.01078747695790773
1.1,ADAS-Cog scale at 18 months,SMD,Exclude all early-terminated trials,6,-0.12318915699394703,-0.1844824690970721,-0.06189584489082196,0.00356549656871519,3.3152317639454184e-4,9.049494951911822,-0.20030944688864374,-0.046068867099250316
1.2,ADAS-Cog scale at 24 months,SMD,Cochrane class pool,2,-0.2134511150771982,-0.8099558948678978,0.38305366471350144,0.4830868444649154,0.13068342239449993,67.81723560627916,NA,NA
1.3,ADAS-Cog scale above 24 months,SMD,Cochrane class pool,2,-0.1176549874200436,-0.2063118610737351,-0.028998113766352113,0.009294325651543705,0,0,NA,NA
1.3,ADAS-Cog scale above 24 months,SMD,Exclude futility-terminated trials,2,-0.1176549874200436,-0.2063118610737351,-0.028998113766352113,0.009294325651543705,0,0,NA,NA
1.3,ADAS-Cog scale above 24 months,SMD,Exclude all early-terminated trials,2,-0.1176549874200436,-0.2063118610737351,-0.028998113766352113,0.009294325651543705,0,0,NA,NA
1.4,MMSE scale at 18 months,SMD,Cochrane class pool,8,0.11479570285245184,0.04137632887883541,0.18821507682606828,0.007682938339376513,1.971686445176898e-6,0.03456161596481942,0.041301287713511436,0.18829011799139225
1.4,MMSE scale at 18 months,SMD,Exclude futility-terminated trials,4,0.13061441661698917,-0.002478040123503056,0.2637068733574814,0.052341489197979464,2.3102038448617157e-6,0.05864594779000345,-0.0025659111484732655,0.2637947443824516
1.4,MMSE scale at 18 months,SMD,Exclude all early-terminated trials,3,0.12914146686468933,0.03943242780559797,0.2188505059237807,0.025088857917586724,0,0,0.03943242780559797,0.2188505059237807
1.5,MMSE scale at 24 months,SMD,Cochrane class pool,2,-0.04142837216421253,-0.3070308965575572,0.22417415222913217,0.7598232522121195,0,0,NA,NA
1.6,ADAS-Cog 24 months mean difference,MD,Cochrane class pool,2,-1.4055037783375324,-5.245306413837063,2.4342988571619975,0.4731172993008963,5.423950000000001,68.82792226332252,NA,NA
2.1,CDR-SB scale at 18 months,SMD,Cochrane class pool,9,-0.12360704450684486,-0.2431373516407463,-0.004076737372943423,0.04422331763822821,0.009920176024795266,67.03272538449767,-0.3825270488957119,0.1353129598820222
