analysis_id,outcome,measure,scenario,ci_method,p_method,k,estimate,ci_low,ci_high,p_value,tau2,i2
1.1,ADAS-Cog scale at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,13,-0.11064448475099421,-0.1595158023712508,-0.06177316713073764,5.31694690429499e-7,6.30164670436144e-4,10.063043484523723
1.2,ADAS-Cog scale at 24 months,SMD,Cochrane class pool,Wald,Wald/z,2,-0.2134511150771982,-0.8099558948678978,0.38305366471350144,0.4830868444649154,0.13068342239449993,67.81723560627916
1.3,ADAS-Cog scale above 24 months,SMD,Cochrane class pool,Wald,Wald/z,2,-0.11765498742004359,-0.20631186107373514,-0.02899811376635203,0.009294325651543764,0,0
1.4,MMSE scale at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,8,0.11479570285245187,0.04137632887883533,0.18821507682606842,5.299050837831771e-6,1.9716864451821197e-6,0.03456161596491084
1.5,MMSE scale at 24 months,SMD,Cochrane class pool,HKSJ,Wald/z,2,-0.041428372164212565,-1.4277564297338967,1.3448996854054716,0.7598232522121194,0,0
1.6,ADAS-Cog 24 months mean difference,MD,Cochrane class pool,Wald,Wald/z,2,-1.4055037783375324,-5.245306413837063,2.4342988571619975,0.4731172993008963,5.423950000000001,68.82792226332252
2.1,CDR-SB scale at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,9,-0.12360704450684494,-0.2431373516407464,-0.004076737372943479,0.005910454152600867,0.00992017602479526,67.0327253844976
2.2,CDR-SB scale at 24 months,SMD,Cochrane class pool,HKSJ,Wald/z,2,0.031545498817869146,-0.955748096895335,1.0188390945310732,0.8164129089891102,0,0
2.3,CDR-SB scale above 24 months,SMD,Cochrane class pool,Wald,Wald/z,2,-0.07010296517035747,-0.1587119765097488,0.01850604616903387,0.12099174319043722,0,0
2.4,CDR-SB 24 months mean difference,MD,Cochrane class pool,Wald,Wald/z,2,0.03187919463087242,-0.6425001302343454,0.7062585194960902,0.9261806438041792,0,0
3.1,DAD total score at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,4,0.04141224471514686,-0.15981967207131642,0.2426441615016101,0.5310752567244994,0.008246332150662004,47.339757601024054
3.2,ADCS-ADL score at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,3,0.09178831812571328,0.026397093158122498,0.15717954309330406,0.006832780826407155,0,0
3.3,ADCS-ADL score at 24 months,SMD,Cochrane class pool,HKSJ,Wald/z,2,0.08682091859005583,-3.829166563123579,4.002808400303691,0.7781675439764495,0.13469954542799994,67.83682538876192
3.4,ADCS-ADL score above 24 months,SMD,Cochrane class pool,HKSJ,Wald/z,2,0.06945122787161243,-0.025544276798888294,0.16444673254211314,0.12321497239665612,0,0
3.5,ADCS-ADL-MCI score at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,4,0.2253197481892245,0.11570585032937554,0.3349336460490735,2.855680358389101e-9,0,0
3.6,ADCS-iADL score at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,1,0.2086615152924401,0.09740270301361312,0.3199203275712671,2.370725624849406e-4,0,NA
3.7,ADCS-ADL 24 months mean difference,MD,Cochrane class pool,Wald,Wald/z,2,0.6478059440559435,-4.919750116189824,6.215362004301711,0.8196080459316482,11.602949999999998,70.92614553278888
3.8,ADCS-ADL-MCI 18 months mean difference,MD,Cochrane class pool,Wald,Wald/z,4,1.8958916024482904,1.272557678332627,2.519225526563954,2.5024216576847596e-9,0,0
4.1,Any ARIA at 18 months,RR,Cochrane class pool,Wald,Wald/z,2,2.3966970260532987,2.074870925771339,2.7684404669930593,1.4814041645820363e-32,0,0
4.10,Symptomatic ARIA H at 18 months,RR,Cochrane class pool,HKSJ,Wald/z,1,2.9966592427616927,0.6064524420319729,14.807371518104377,0.17817119958296712,0,NA
4.2,Any ARIA E at 18 months,RR,Cochrane class pool,Wald,Wald/z,11,10.021567099643446,7.4909777580592785,13.407035820471492,2.504949184141154e-54,0.054230157015968304,25.234597256918885
4.3,Any ARIA E at 24 months,RR,Cochrane class pool,Wald,Wald/z,4,7.494102135327068,2.9814471361614756,18.837015801333326,1.844602398016939e-5,0.11447665063724294,11.83959632683999
4.4,Any ARIA E above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,9.349943398952874,4.51505569501341,19.362206685550703,1.7594883233552905e-9,0.18601437356944012,66.3692954998454
4.5,Symptomatic ARIA E at 18 months,RR,Cochrane class pool,HKSJ,Wald/z,2,52.4903527709673,40.126898557731224,68.6630971505707,1.5168276846694145e-6,0,0
4.6,Symptomatic ARIA E above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,15.546661816944196,4.331361582881384,55.80201260630923,2.5749219266435758e-5,0,0
4.7,Any ARIA H at 18 months,RR,Cochrane class pool,Wald,Wald/z,3,1.647567809136657,0.958606576737202,2.831693159192176,0.0707666377502418,0.19569237236659237,90.00231897534974
4.8,Any ARIA H at 24 months,RR,Cochrane class pool,Wald,Wald/z,4,1.274817128129933,0.9569928828870752,1.698193099692277,0.09701298864820303,0,0
4.9,Any ARIA H above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,1.86453837103413,1.518623298927227,2.2892466746127553,2.674353802685868e-9,0,0
5.1,SAE at 18 months,RR,Cochrane class pool,Wald,Wald/z,9,1.0411259198754734,0.9356458976766603,1.1584972303390986,0.45961568171111417,0.010222160034294199,39.37245648976633
5.2,SAE at 24 months,RR,Cochrane class pool,Wald,Wald/z,4,1.0310011018008096,0.8481859609704622,1.2532196013929318,0.7591700165350601,0,0
5.3,SAE above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,0.8237606397871372,0.6672245404164604,1.017021333236581,0.07138804072868461,0,0
6.1,Mortality at 18 months,RR,Cochrane class pool,Wald,Wald/z,7,1.1726999325261924,0.7412380028844401,1.8553084520699292,0.4960978671176031,0.11750954385513673,31.573527502497875
6.2,Mortality at 24 months,RR,Cochrane class pool,Wald,Wald/z,4,1.0546139842264817,0.46941580486159656,2.369350678454425,0.8975504230278012,0.058361142743979653,7.878428238569533
6.3,Mortality above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,0.6972000337432346,0.12513570667984988,3.8844858909470674,0.6806620419187537,1.12734264450507,73.3779120362122
7.1,NPI-Q score at 12 months,SMD,Cochrane class pool,HKSJ,Wald/z,1,0.08604846600191733,-0.1834920094196857,0.3555889414235204,0.5315107139042438,0,NA
7.2,NPI-Q score at 18 months,SMD,Cochrane class pool,Wald,Wald/z,2,0.11919939977015583,-0.17479245584770714,0.41319125538801876,0.4268054428964087,0,0
8.1,Infusion reaction at 18 months,RR,Cochrane class pool,Wald,Wald/z,3,3.5804140006754777,0.6037253491580196,21.23376868987098,0.16021662103970646,2.363272780349808,97.19728094012109
8.2,Infusion reaction at 24 months,RR,Cochrane class pool,Wald,Wald/z,1,1.1491789422844725,0.7737788248778547,1.7067050673020485,0.49079563226526185,0,NA
9.1,Study discontinuation at 18 months,RR,Cochrane class pool,Wald,Wald/z,11,1.1206943650781804,1.0286842315596554,1.2209342978007443,0.009134368760727339,0.009762441228302521,49.554731620791856
9.2,Study discontinuation at 24 months,RR,Cochrane class pool,HKSJ,Wald/z,2,1.0087417778211831,0.8799874387122009,1.1563346583798606,0.8058020547192906,0,0
9.3,Study discontinuation above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,1.3550026889949676,1.109422105329669,1.654944748588734,0.0029037060940422773,0.005604882658618307,26.85324966478464
