analysis_id,outcome,measure,scenario,ci_method,p_method,k,estimate,ci_low,ci_high,p_value,tau2,i2,cochrane_estimate,cochrane_ci_low,cochrane_ci_high,cochrane_p_value,cochrane_ci_method,abs_estimate_difference,abs_ci_low_difference,abs_ci_high_difference,abs_p_value_difference
1.1,ADAS-Cog scale at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,13,-0.11064448475099421,-0.1595158023712508,-0.06177316713073764,5.31694690429499e-7,6.30164670436144e-4,10.063043484523723,-0.11064536398214196,-0.15951584540997393,-0.06177488255430993,5.310067995745564e-7,HKSJ,8.792311477490156e-7,4.303872314093127e-8,1.715423572287711e-6,6.878908549426044e-10
1.2,ADAS-Cog scale at 24 months,SMD,Cochrane class pool,Wald,Wald/z,2,-0.2134511150771982,-0.8099558948678978,0.38305366471350144,0.4830868444649154,0.13068342239449993,67.81723560627916,-0.21345111507719816,-0.809955894867898,0.38305366471350166,0.4830868494247262,Wald,2.7755575615628914e-17,2.220446049250313e-16,2.220446049250313e-16,4.959810784299634e-9
1.3,ADAS-Cog scale above 24 months,SMD,Cochrane class pool,Wald,Wald/z,2,-0.11765498742004359,-0.20631186107373514,-0.02899811376635203,0.009294325651543764,0,0,-0.11765498742004356,-0.20631186107373511,-0.02899811376635204,0.00929432565116569,Wald,2.7755575615628914e-17,2.7755575615628914e-17,1.0408340855860843e-17,3.780743079717652e-13
1.4,MMSE scale at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,8,0.11479570285245187,0.04137632887883533,0.18821507682606842,5.299050837831771e-6,1.9716864451821197e-6,0.03456161596491084,0.11479688442020251,0.04139533287165933,0.18819843596874575,5.25886905125e-6,HKSJ,1.1815677506410438e-6,1.900399282400017e-5,1.664085732266951e-5,4.018178658177087e-8
1.5,MMSE scale at 24 months,SMD,Cochrane class pool,HKSJ,Wald/z,2,-0.041428372164212565,-1.4277564297338967,1.3448996854054716,0.7598232522121194,0,0,-0.04142837216421256,-1.427756429780876,1.3448996854524509,0.7598232526480787,HKSJ,6.938893903907228e-18,4.6979309331618424e-11,4.6979309331618424e-11,4.359592686853375e-10
1.6,ADAS-Cog 24 months mean difference,MD,Cochrane class pool,Wald,Wald/z,2,-1.4055037783375324,-5.245306413837063,2.4342988571619975,0.4731172993008963,5.423950000000001,68.82792226332252,-1.4055037783375313,-5.24530641383706,2.4342988571619975,0.473117304593097,Wald,1.1102230246251565e-15,2.6645352591003757e-15,0,5.292200677686765e-9
2.1,CDR-SB scale at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,9,-0.12360704450684494,-0.2431373516407464,-0.004076737372943479,0.005910454152600867,0.00992017602479526,67.0327253844976,-0.12360717841703496,-0.24313682520931665,-0.00407753162475324,0.00590977227713378,HKSJ,1.3391019001995907e-7,5.264314297537265e-7,7.942518097615522e-7,6.818754670866178e-7
2.2,CDR-SB scale at 24 months,SMD,Cochrane class pool,HKSJ,Wald/z,2,0.031545498817869146,-0.955748096895335,1.0188390945310732,0.8164129089891102,0,0,0.03154549881786915,-0.955748096928792,1.0188390945645305,0.8164129091761425,HKSJ,6.938893903907228e-18,3.345701493628894e-11,3.345723698089387e-11,1.8703227855354498e-10
2.3,CDR-SB scale above 24 months,SMD,Cochrane class pool,Wald,Wald/z,2,-0.07010296517035747,-0.1587119765097488,0.01850604616903387,0.12099174319043722,0,0,-0.07010296517035751,-0.15871197650974886,0.01850604616903384,0.12099174318573654,Wald,4.163336342344337e-17,5.551115123125783e-17,2.7755575615628914e-17,4.700684286262913e-12
2.4,CDR-SB 24 months mean difference,MD,Cochrane class pool,Wald,Wald/z,2,0.03187919463087242,-0.6425001302343454,0.7062585194960902,0.9261806438041792,0,0,0.0318791946308725,-0.6425001302343453,0.7062585194960903,0.9261806438098364,Wald,7.632783294297951e-17,1.1102230246251565e-16,1.1102230246251565e-16,5.657252444279948e-12
3.1,DAD total score at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,4,0.04141224471514686,-0.15981967207131642,0.2426441615016101,0.5310752567244994,0.008246332150662004,47.339757601024054,0.04141223915587343,-0.15981990507286503,0.24264438338461192,0.5310689375588362,HKSJ,5.559273430488787e-9,2.3300154861072286e-7,2.2188300180525644e-7,6.319165663182247e-6
