analysis_id,outcome,measure,agent,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high,active_events,active_n,control_events,control_n,rd_per_1000,rd_ci_low_per_1000,rd_ci_high_per_1000,active_risk,control_risk,nn_type,number_needed,nn_ci_low,nn_ci_high
4.1,Any ARIA at 18 months,RD,Donanemab,1,0.21937112519818328,0.17932054277401438,0.25942170762235217,6.94086434580125e-27,0,NA,NA,NA,314,853,130,874,219.37112519818328,179.32054277401437,259.4217076223522,0.36811254396248533,0.14874141876430205,NNH,4.5584850745356045,3.8547275367400227,5.576605917707001
4.1,Any ARIA at 18 months,RD,Lecanemab,1,0.12016173684615634,0.0871593703942988,0.1531641032980139,9.592124608916213e-13,0,NA,NA,NA,193,898,85,897,120.16173684615634,87.1593703942988,153.16410329801388,0.21492204899777284,0.0947603121516165,NNH,8.32211672572863,6.528944958168715,11.473235700029921
4.10,Symptomatic ARIA H at 18 months,RD,Lecanemab,1,0.0044518600730472525,-0.0017059409913244448,0.01060966113741895,0.15648856341538972,0,NA,NA,NA,6,898,2,897,4.451860073047253,-1.7059409913244448,10.60966113741895,0.0066815144766146995,0.002229654403567447,Indeterminate (CI crosses 0),NA,NA,NA
4.2,Any ARIA E at 18 months,RD,Aducanumab,2,0.32634445196067946,0.29642303493332717,0.35626586898803175,2.1980842267000138e-101,0,0,NA,NA,387,1095,29,1076,326.34445196067946,296.4230349333272,356.26586898803174,0.35342465753424657,0.02695167286245353,NNH,3.0642469758318054,2.806892512158086,3.3735569849520117
4.2,Any ARIA E at 18 months,RD,Bapineuzumab,4,0.1078750173625103,0.02654784414502663,0.189202190579994,0.024304125731331828,0.002405856442659686,91.48448375505488,-0.06813787339623982,0.2838879081212604,256,1923,13,1755,107.8750173625103,26.54784414502663,189.20219057999398,0.13312532501300053,0.007407407407407408,NNH,9.269986920507593,5.285351067736204,37.667842049138144
4.2,Any ARIA E at 18 months,RD,Crenezumab,1,0.002512562814070352,-0.002405779320683517,0.007430904948824221,0.31670177648067804,0,NA,NA,NA,1,398,0,388,2.512562814070352,-2.405779320683517,7.430904948824221,0.002512562814070352,0,Indeterminate (CI crosses 0),NA,NA,NA
4.2,Any ARIA E at 18 months,RD,Donanemab,1,0.2197332875488584,0.18955288134294265,0.24991369375477415,3.3738984753675034e-46,0,NA,NA,NA,205,853,18,874,219.7332875488584,189.55288134294264,249.91369375477416,0.2403282532239156,0.020594965675057208,NNH,4.550971822044245,4.001381376809396,5.275572668245444
4.2,Any ARIA E at 18 months,RD,Lecanemab,1,0.109112781282821,0.08585385873031615,0.13237170383532584,3.7629719226187134e-20,0,NA,NA,NA,113,898,15,897,109.11278128282099,85.85385873031615,132.37170383532583,0.12583518930957685,0.016722408026755852,NNH,9.164829163395568,7.554484614355561,11.647700112597112
4.2,Any ARIA E at 18 months,RD,Solanezumab,2,0.002027784855756235,-0.0046053188755824665,0.008660888587094935,0.5490566588180448,1.3757766079404708e-5,46.505028216112926,NA,NA,10,1711,5,1727,2.027784855756235,-4.6053188755824666,8.660888587094936,0.0058445353594389245,0.0028951939779965257,Indeterminate (CI crosses 0),NA,NA,NA
4.3,Any ARIA E at 24 months,RD,Aducanumab,1,0.010294117647058823,0.002707620932523162,0.017880614361594487,0.007826249233872064,0,NA,NA,NA,7,680,0,344,10.294117647058824,2.707620932523162,17.880614361594485,0.010294117647058823,0,NNH,97.14285714285714,55.92648998391719,369.32791735663153
4.3,Any ARIA E at 24 months,RD,Crenezumab,1,-1.26260234970298e-5,-0.006968277874957669,0.006943025827963609,0.9971613229067907,0,NA,NA,NA,1,399,1,397,-0.0126260234970298,-6.968277874957669,6.943025827963609,0.002506265664160401,0.0025188916876574307,Indeterminate (CI crosses 0),NA,NA,NA
4.3,Any ARIA E at 24 months,RD,Gantenerumab,2,0.10318325053945925,0.055435776541880144,0.15093072453703835,2.280218372913071e-5,6.892178925978208e-4,58.04599681325556,NA,NA,53,452,5,461,103.18325053945925,55.435776541880145,150.93072453703834,0.1172566371681416,0.010845986984815618,NNH,9.69149541976855,6.625556215060773,18.03889225299349
4.4,Any ARIA E above 24 months,RD,Gantenerumab,2,0.22130290739397204,0.19254932956059068,0.2500564852273534,2.034882669558399e-51,0,0,NA,NA,247,993,26,946,221.30290739397205,192.54932956059068,250.05648522735342,0.24874118831822759,0.02748414376321353,NNH,4.518693458553444,3.9990964405133975,5.193474328277647
4.5,Symptomatic ARIA E at 18 months,RD,Donanemab,1,0.059817148253170256,0.04360528969497926,0.07602900681136125,4.769505872841138e-13,0,NA,NA,NA,52,853,1,874,59.81714825317026,43.60528969497926,76.02900681136126,0.06096131301289566,0.0011441647597254005,NNH,16.717614082296222,13.152874697957607,22.932997510050726
4.5,Symptomatic ARIA E at 18 months,RD,Lecanemab,1,0.02783964365256125,0.01707968228102067,0.03859960502410183,3.955501400814639e-7,0,NA,NA,NA,25,898,0,897,27.83964365256125,17.07968228102067,38.59960502410183,0.02783964365256125,0,NNH,35.919999999999995,25.907000845619894,58.54909848710843
4.6,Symptomatic ARIA E above 24 months,RD,Gantenerumab,2,0.048265379952996366,0.034351686206574,0.06217907369941873,1.0538972686827488e-11,0,0,NA,NA,50,993,2,946,48.26537995299637,34.351686206574,62.17907369941873,0.050352467270896276,0.0021141649048625794,NNH,20.718784374511465,16.08258117247167,29.110652501495736
4.7,Any ARIA H at 18 months,RD,Crenezumab,1,-0.009027094234056877,-0.04085086801721291,0.022796679549099155,0.5782374626372103,0,NA,NA,NA,20,398,23,388,-9.027094234056877,-40.85086801721291,22.796679549099157,0.05025125628140704,0.059278350515463915,Indeterminate (CI crosses 0),NA,NA,NA
