study,analysis_id,outcome,experimental_n,control_n,experimental_mean,control_mean,experimental_sd,control_sd,effect,ci_low,ci_high,variance,raw_md,raw_variance,amyloid_change_cl,pairing_status,instrument_status,source_locator
EMERGE 2022,1.1,ADAS-Cog scale at 18 months,299,288,3.76,5.16,6.55,6.788225,-0.2096907174412845,-0.37195881246213014,-0.0474226224204389,0.00685441023598852,-1.4000000000000004,0.3034866173882487,-48.74,Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | EMERGE 2022 | 1.1
ENGAGE 2022,1.1,ADAS-Cog scale at 18 months,295,333,4.555,5.14,11.61,6.93,-0.06201399463076672,-0.2187610618172498,0.09473307255571636,0.0063959147340604,-0.585,0.6011412918002748,-42.24,Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | ENGAGE 2022 | 1.1
ENVISION,1.1,ADAS-Cog scale at 18 months,5,3,7.4,9.67,2.33,0.884,-1.0021345469935967,-2.5908088067914763,0.5865397128042826,0.6570123543035383,-2.2699999999999996,1.3462653333333336,NA,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | ENVISION | 1.1
3000 Non Carriers 2016,1.1,ADAS-Cog scale at 18 months,212,155,9.4,10,8.44,8.59,-0.0704131837413032,-0.2776085599396443,0.13678219245703785,0.01117542213044339,-0.5999999999999996,0.8120598052343274,6.52,PET time requires verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | 3000 Non Carriers 2016 | 1.1
3001 Carriers 2016,1.1,ADAS-Cog scale at 18 months,202,145,5,4.2,7.25,7.47,0.10871579663756864,-0.10476983617361184,0.3222014294487491,0.01186427280471404,0.7999999999999998,0.6450441891430523,-9.6,PET time requires verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | 3001 Carriers 2016 | 1.1
Bapineuzumab-301 2014,1.1,ADAS-Cog scale at 18 months,201,334,4.7,5.2,9.36,9.32,-0.05348629124709096,-0.2284818796971421,0.12150929720296016,0.00797182981944506,-0.5,0.6959357225846814,NA,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | Bapineuzumab-301 2014 | 1.1
Bapineuzumab-302 2014,1.1,ADAS-Cog scale at 18 months,339,254,5.9,6.2,8.837737,9.243679,-0.03324021528476897,-0.19590303620735355,0.1294226056378156,0.00688779824163567,-0.2999999999999998,0.5667999918086525,NA,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | Bapineuzumab-302 2014 | 1.1
CREAD 2 2022,1.1,ADAS-Cog scale at 18 months,12,15,7.16,8.9,4.9,5.07,-0.3377306247437116,-1.1030536622352447,0.42759241274782145,0.15247315643733267,-1.7400000000000002,3.7144933333333343,-3.79,Time mismatch,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | CREAD 2 2022 | 1.1
TRAILBLAZER-ALZ 2 2023,1.1,ADAS-Cog scale at 18 months,607,677,5.7,7.05,7.637585,7.805767,-0.17461605996336704,-0.28438211418742354,-0.06485000573931052,0.00313646123056485,-1.3499999999999996,0.18610000535407384,-86.33,Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 1.1
SCarlet RoAD 2017,1.1,ADAS-Cog scale at 18 months,167,175,5.54,5.77,9.27,9.27,-0.02475644808313742,-0.23678810339241205,0.1872752072261372,0.01170321613523571,-0.22999999999999954,1.0056134063301967,-12.64,Time mismatch,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | SCarlet RoAD 2017 | 1.1
CLARITY AD 2023,1.1,ADAS-Cog scale at 18 months,854,872,4.14,5.58,8.8,8.8,-0.16356516579866837,-0.258081715008226,-0.06904861658911071,0.00232551707345089,-1.4400000000000004,0.1794864963582064,-59.12,Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | CLARITY AD 2023 | 1.1
EXPEDITION - EXPEDITION 2 2016,1.1,ADAS-Cog scale at 18 months,659,663,4.08,6.21,12.835498,12.616905,-0.16727429919111023,-0.27527455114545396,-0.05927404723676646,0.00303636065532367,-2.13,0.49010000111779606,NA,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 1.1
EXPEDITION 3 2018,1.1,ADAS-Cog scale at 18 months,1057,1072,35.09,36.11,13.28,14.27,-0.0739546137730699,-0.15894106745847214,0.01103183991233232,0.0018801964688810401,-1.019999999999996,0.3568041239815586,NA,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | EXPEDITION 3 2018 | 1.1
Marguerite RoAD 2024,1.2,ADAS-Cog scale at 24 months,16,30,NA,NA,NA,NA,-0.584878,-1.2043638165935748,0.03460781659357492,0.0999002449,NA,NA,NA,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | Marguerite RoAD 2024 | 1.2
CREAD 2022,1.2,ADAS-Cog scale at 24 months,80,86,NA,NA,NA,NA,0.035927,-0.2685416452143902,0.3403956452143902,0.02413175833600002,NA,NA,-1.99,Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | CREAD 2022 | 1.2
GRADUATE I 2023,1.3,ADAS-Cog scale above 24 months,499,485,8.57,9.82,10.499005,12.552948,-0.10807650501387596,-0.2331434451643425,0.01699043513659054,0.00407182277585212,-1.25,0.545800019201386,-66.44,Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | GRADUATE I 2023 | 1.3
GRADUATE II 2023,1.3,ADAS-Cog scale above 24 months,498,477,6.66,7.94,9.372684,10.701762,-0.1273299020916326,-0.253024827171296,-0.00163497701196924,0.00411281623160218,-1.2800000000000002,0.41650003153524806,-56.46,Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | GRADUATE II 2023 | 1.3
EMERGE 2022,1.4,MMSE scale at 18 months,299,288,-2.7,-3.3,3.4,3.39,0.17649873250699524,0.01436080351576632,0.33863666149822413,0.00684341789008546,0.5999999999999996,0.07856533235785954,-48.74,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 1.4
ENGAGE 2022,1.4,MMSE scale at 18 months,295,333,-3.6,-3.5,3.51,3.65,-0.02786111284088035,-0.18457804171348471,0.12885581603172402,0.00639345544014528,-0.10000000000000009,0.08177055835496513,-42.24,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 1.4
ENVISION,1.4,MMSE scale at 18 months,5,3,-1.2,-6,1.48,1,3.1165966491626023,0.5390114245275348,5.694181873797669,1.7295371108667763,4.8,0.7714133333333333,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 1.4
CREAD 2 2022,1.4,MMSE scale at 18 months,12,15,-3.21,-3.63,2.38,2.46,0.16793884927381217,-0.5926977031526056,0.92857540170023,0.15061152335419375,0.41999999999999993,0.8754733333333333,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 1.4
TRAILBLAZER-ALZ 2 2023,1.4,MMSE scale at 18 months,600,679,-2.65,-3.22,3.919184,3.908644,0.14556071158732342,0.03559766079525875,0.2555237623793881,0.00314772931427995,0.5700000000000003,0.04810000231123668,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 1.4
EXPEDITION - EXPEDITION 2 2016,1.4,MMSE scale at 18 months,659,663,-1.83,-2.76,5.647619,5.664733,0.16432765990782358,0.0563340002018026,0.27232131961384454,0.00303598999262277,0.9299999999999997,0.09680000050179596,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 1.4
EXPEDITION 3 2018,1.4,MMSE scale at 18 months,1057,1072,19.62,19.09,5.3,5.56,0.09752706631305172,0.01251912032856845,0.182535012297535,0.00188114755820682,0.5300000000000011,0.05541252629943941,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 1.4
SCarlet RoAD 2017,1.4,MMSE scale at 18 months,167,175,-2.73,-2.93,4.15,4.15,0.04808638527620419,-0.16396803771329993,0.2601408082657083,0.01170572962208307,0.20000000000000018,0.2015430282292558,-12.64,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 1.4
Marguerite RoAD 2024,1.5,MMSE scale at 24 months,16,29,NA,NA,NA,NA,0.184919,-0.4267622400071364,0.7966002400071364,0.09739891974400006,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 1.5
CREAD 2022,1.5,MMSE scale at 24 months,87,90,NA,NA,NA,NA,-0.094021,-0.3888701419782675,0.20082814197826757,0.02263099009600001,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 1.5
CREAD 2022,1.6,ADAS-Cog 24 months mean difference,NA,NA,NA,NA,NA,NA,0.26,-1.8763607431486593,2.3963607431486595,1.188100000000001,NA,NA,-1.99,Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | CREAD 2022 | 1.6
Marguerite RoAD 2024,1.6,ADAS-Cog 24 months mean difference,NA,NA,NA,NA,NA,NA,-3.71,-7.492730490162304,0.07273049016230448,3.7249000000000025,NA,NA,NA,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | Marguerite RoAD 2024 | 1.6
EMERGE 2022,2.1,CDR-SB scale at 18 months,299,288,1.35,1.74,1.85,1.866762,-0.20960656521752616,-0.3718743020776729,-0.0473388283573794,0.00685437997769713,-0.3899999999999999,0.023546489560439386,-48.74,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 2.1
ENGAGE 2022,2.1,CDR-SB scale at 18 months,295,333,1.59,1.56,1.88,2.007312,0.01537756078862819,-0.14133406764528272,0.17208918922253913,0.00639302297192674,0.030000000000000027,0.024081021349584977,-42.24,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 2.1
ENVISION,2.1,CDR-SB scale at 18 months,8,6,1.56,0.67,1.635,0.408,0.6528580708871715,-0.4434098046021674,1.7491259463765103,0.3128507452314045,0.89,0.361897125,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 2.1
CREAD 2 2022,2.1,CDR-SB scale at 18 months,12,15,1.89,3.19,1.53,1.6,-0.8031462679187892,-1.5968378115421125,-0.00945472429546601,0.16398620831899138,-1.3,0.3657416666666667,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 2.1
TRAILBLAZER-ALZ 2 2023,2.1,CDR-SB scale at 18 months,598,672,1.72,2.42,2.445404,2.333067,-0.2931287586575765,-0.40390175211272944,-0.18235576520242353,0.00319426984689065,-0.7,0.018100003629761836,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 2.1
EXPEDITION - EXPEDITION 2 2016,2.1,CDR-SB scale at 18 months,659,663,1.53,1.69,3.337229,3.347342,-0.04784395515879964,-0.15567074001790648,0.05998282970030719,0.00302661464712805,-0.15999999999999992,0.033799993736974426,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 2.1
EXPEDITION 3 2018,2.1,CDR-SB scale at 18 months,1057,1072,5.72,6.02,3.18,3.38,-0.09136907215605586,-0.17637083393918862,-0.00636731037292309,0.00188087386680117,-0.2999999999999998,0.020224166184216102,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 2.1
